@relation P-train

@attribute P1 real
@attribute P2 real
@attribute P3 real
@attribute P4 real
@attribute P5 real
@attribute P6 real
@attribute P7 real
@attribute P8 real
@attribute P9 real
@attribute P10 real
@attribute P11 real
@attribute P12 real
@attribute P13 real
@attribute P14 real      
@attribute P15 real      
@attribute P16 real
@attribute P17 real
@attribute P18 real
@attribute P19 real
@attribute P20 real
@attribute P21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
38.60,28.30,33.10,23.60,24.80,21.20,0.60,27.10,55.40,78.90,100.00,1.20,22.30,40.40,72.30,99.40,4.80,19.90,42.20,71.10,97.00,9
33.60,31.90,34.50,17.80,29.70,18.60,7.60,32.80,55.50,83.20,99.20,0.80,15.10,51.30,71.40,95.80,5.90,21.80,43.70,68.90,100.00,9
31.80,27.10,41.10,20.30,25.00,16.40,2.30,20.90,50.40,72.10,98.40,4.70,23.30,38.80,73.60,100.00,0.80,28.70,49.60,69.00,97.70,9
38.50,19.60,42.00,15.50,34.50,16.20,2.10,23.80,44.80,72.70,100.00,0.70,15.40,47.60,68.50,98.60,1.40,27.30,54.50,79.00,99.30,9
37.70,19.20,43.00,18.00,36.70,19.30,2.00,25.20,44.40,76.20,98.70,1.30,14.60,45.70,68.90,96.70,0.70,23.80,51.00,72.80,100.00,9
41.50,17.00,41.50,15.20,38.60,10.10,0.60,27.70,51.60,78.60,98.70,6.30,25.80,44.70,69.20,96.90,1.30,17.00,47.20,71.70,100.00,9
37.00,16.00,47.10,7.60,39.80,12.70,3.40,27.70,50.40,77.30,98.30,1.70,16.00,22.70,58.00,91.60,0.80,29.40,52.90,76.50,100.00,9
31.60,25.00,43.40,12.00,32.00,22.70,1.30,31.60,52.60,81.60,97.40,3.90,19.70,46.10,59.20,98.70,2.60,23.70,44.70,73.70,100.00,11
28.40,33.00,38.50,21.30,19.40,21.30,1.80,22.00,43.10,64.20,97.20,0.90,18.30,59.60,79.80,100.00,3.70,25.70,47.70,69.70,99.10,11
29.40,26.50,44.10,12.10,30.30,27.30,17.60,29.40,58.80,67.60,88.20,5.90,20.60,50.00,79.40,100.00,2.90,11.80,41.20,64.70,91.20,11
32.40,25.90,41.60,18.50,26.60,20.70,0.50,23.80,48.10,69.20,99.50,1.10,24.90,44.30,65.90,95.70,1.60,25.40,57.30,80.50,100.00,11
35.10,29.90,35.10,21.40,22.00,22.00,1.70,27.60,52.30,74.10,100.00,0.60,31.00,51.70,75.90,98.90,1.10,19.50,46.00,65.50,96.00,11
35.70,24.30,40.00,18.50,34.80,15.20,1.10,24.90,53.50,73.50,97.80,0.50,30.30,54.10,81.60,100.00,1.60,17.80,39.50,69.20,99.50,11
34.90,24.80,40.30,18.20,33.10,16.90,3.40,22.80,48.30,73.80,98.00,0.70,32.20,47.70,67.10,100.00,1.30,21.50,51.00,78.50,96.60,11
29.10,39.00,31.90,23.10,19.30,18.40,0.50,21.10,45.50,68.10,100.00,1.90,26.30,46.90,73.70,97.20,0.90,25.40,57.30,77.90,99.50,20
33.50,30.60,35.90,22.00,21.50,26.30,1.50,19.90,44.20,74.80,100.00,0.50,25.20,51.50,75.70,99.50,4.40,25.70,49.00,73.30,98.10,20
31.50,30.30,38.20,18.10,26.00,23.20,1.70,24.70,52.20,80.90,99.40,3.40,25.30,58.40,71.30,100.00,0.60,21.90,43.80,73.60,97.20,20
32.20,32.80,35.00,22.20,27.30,23.90,1.70,29.90,54.80,74.00,100.00,0.60,19.20,40.10,65.50,97.70,4.00,27.70,56.50,78.50,99.40,20
30.70,26.30,43.00,19.10,32.60,19.70,2.20,24.60,50.80,72.10,98.30,0.60,20.10,60.90,84.40,98.90,1.10,24.00,41.90,70.40,100.00,20
40.60,26.70,32.70,22.00,29.00,15.00,1.00,24.80,46.50,71.30,98.00,2.00,13.90,43.60,57.40,100.00,3.00,28.70,59.40,80.20,99.00,20
35.70,33.70,30.60,25.80,21.60,18.60,3.10,24.50,51.00,70.40,98.00,5.10,28.60,53.10,76.50,100.00,1.00,18.40,44.90,65.30,99.00,20
35.20,31.90,33.00,27.80,24.40,22.20,6.60,28.60,51.60,80.20,100.00,1.10,18.70,41.80,68.10,96.70,3.30,15.40,47.30,65.90,98.90,20
33.30,28.30,38.40,17.30,27.60,29.60,1.00,26.30,49.50,65.70,100.00,4.00,20.20,55.60,73.70,92.90,2.00,19.20,44.40,74.70,99.00,20
36.80,36.00,27.20,23.90,16.80,22.10,2.60,21.90,55.30,81.60,98.20,0.90,27.20,41.20,66.70,100.00,1.80,16.70,49.10,65.80,93.00,20
34.00,28.20,37.90,20.60,28.40,26.50,1.00,20.40,42.70,71.80,100.00,1.90,24.30,51.50,79.60,99.00,2.90,22.30,46.60,63.10,98.10,20
27.50,38.50,34.10,24.40,17.80,31.10,2.20,20.90,42.90,68.10,97.80,4.40,22.00,46.20,67.00,96.70,1.10,24.20,51.60,82.40,100.00,20
29.40,47.10,23.50,31.70,13.90,24.80,2.90,30.40,63.70,80.40,98.00,1.00,23.50,44.10,72.50,99.00,2.00,17.60,46.10,58.80,100.00,20
30.60,50.60,18.80,33.30,15.50,17.90,5.90,22.40,52.90,76.50,100.00,1.20,18.80,44.70,69.40,97.60,8.20,25.90,58.80,80.00,95.30,20
35.10,24.60,40.40,20.70,32.20,17.60,0.90,24.10,54.80,75.90,99.60,0.40,29.40,53.10,68.40,94.30,1.30,21.50,44.30,75.00,100.00,20
34.00,36.00,30.00,24.20,20.20,20.20,1.00,25.00,53.00,76.00,100.00,3.00,29.00,52.00,74.00,95.00,2.00,17.00,40.00,68.00,99.00,20
27.50,44.00,28.40,16.70,24.10,23.10,7.30,24.80,42.20,78.00,98.20,0.90,22.00,49.50,67.90,99.10,4.60,25.70,45.00,74.30,100.00,20
33.70,31.70,34.70,20.00,28.00,21.00,3.00,22.80,53.50,76.20,99.00,1.00,18.80,42.60,58.40,91.10,2.00,23.80,54.50,79.20,100.00,20
27.70,55.40,17.00,32.40,14.40,19.80,3.60,26.80,41.10,74.10,99.10,0.90,19.60,46.40,73.20,100.00,12.50,31.20,54.50,70.50,95.50,20
27.30,38.70,34.00,22.80,18.10,28.90,0.70,18.00,37.30,68.70,98.70,2.00,28.00,55.30,76.00,100.00,1.30,22.70,45.30,71.30,93.30,20
30.80,50.50,18.70,32.20,17.80,17.80,3.30,18.70,44.00,71.40,100.00,1.10,22.00,51.60,72.50,97.80,4.40,30.80,46.20,80.20,98.90,20
29.20,36.00,34.80,26.10,25.00,25.00,1.10,21.30,39.30,65.20,97.80,3.40,22.50,50.60,82.00,100.00,2.20,25.80,53.90,71.90,95.50,20
29.00,40.00,31.00,24.20,23.20,22.20,1.00,23.00,46.00,69.00,97.00,6.00,33.00,54.00,86.00,99.00,3.00,20.00,32.00,62.00,100.00,20
34.40,30.00,35.60,21.30,23.60,19.10,4.40,31.10,60.00,75.60,98.90,2.20,17.80,53.30,68.90,93.30,1.10,20.00,40.00,63.30,100.00,20
38.70,25.50,35.80,21.00,37.10,18.10,4.70,23.60,48.10,69.80,100.00,0.90,14.20,35.80,67.00,98.10,1.90,29.20,49.10,74.50,99.10,20
33.70,33.70,32.70,20.60,28.90,25.80,4.10,22.40,48.00,70.40,99.00,1.00,18.40,44.90,77.60,96.90,2.00,25.50,52.00,67.30,100.00,20
31.10,32.80,36.10,20.30,22.00,20.30,1.70,26.10,49.60,73.90,96.60,0.80,19.30,46.20,66.40,100.00,4.20,21.80,47.90,74.80,97.50,20
37.80,25.90,36.30,22.40,32.80,14.90,3.00,21.50,46.70,72.60,97.80,0.70,25.90,42.20,68.90,100.00,4.40,25.20,50.40,76.30,98.50,20
34.30,27.30,38.40,18.40,30.60,26.50,1.00,26.30,51.50,70.70,100.00,4.00,18.20,52.50,72.70,94.90,2.00,19.20,44.40,74.70,99.00,20
35.50,41.10,23.40,30.00,16.00,20.20,0.90,23.40,48.10,71.00,98.60,0.50,26.20,56.50,75.20,99.50,1.40,25.20,41.60,76.60,100.00,20
33.30,36.40,30.30,27.60,16.30,21.40,1.00,19.20,41.40,72.70,99.00,6.10,22.20,49.50,75.80,98.00,2.00,30.30,51.50,68.70,100.00,23
35.00,30.10,35.00,20.50,23.80,20.50,2.40,18.70,52.80,70.70,99.20,3.30,22.00,40.70,64.20,97.60,0.80,30.10,54.50,81.30,100.00,23
33.30,36.20,30.50,26.00,24.00,22.10,4.80,26.70,52.40,76.20,99.00,2.90,13.30,47.60,73.30,95.20,1.00,27.60,46.70,71.40,100.00,23
31.80,34.90,33.30,25.00,23.40,27.30,2.30,22.50,49.60,76.70,98.40,0.80,33.30,58.10,77.50,99.20,1.60,17.80,40.30,61.20,100.00,23
34.90,34.90,30.20,18.80,25.90,23.50,1.20,24.40,45.30,77.90,100.00,2.30,19.80,52.30,70.90,98.80,4.70,17.40,41.90,68.60,97.70,23
34.90,34.10,31.00,18.80,25.00,22.70,2.30,18.60,45.00,70.50,93.80,0.80,31.00,57.40,76.70,97.70,1.60,17.10,42.60,74.40,100.00,23
32.50,37.30,30.10,23.10,23.10,23.60,1.00,20.60,46.90,65.60,98.10,0.50,32.50,58.40,78.90,99.50,1.40,18.70,42.10,69.90,100.00,23
36.00,30.80,33.20,23.00,26.80,20.20,1.40,20.60,46.30,72.40,97.20,0.50,25.70,57.00,77.60,100.00,1.90,24.80,46.70,66.80,99.50,23
34.00,33.30,32.70,19.60,25.90,18.40,1.30,22.60,46.50,78.00,97.50,1.90,30.80,59.70,74.80,96.90,0.60,24.50,45.30,70.40,100.00,23
33.90,33.60,32.50,21.90,25.20,19.30,0.50,23.80,50.40,75.80,99.50,0.90,22.40,46.80,72.00,100.00,0.20,28.20,49.90,76.70,98.80,26
38.30,36.60,25.10,23.60,20.70,17.80,0.60,26.90,52.60,80.60,99.40,2.30,21.10,43.40,65.10,98.90,1.70,28.60,49.10,76.60,100.00,26
33.70,33.20,33.20,20.20,26.80,19.10,1.10,30.40,54.30,75.00,98.40,0.50,23.40,52.70,81.00,100.00,1.60,20.70,40.80,64.10,99.50,26
37.20,40.70,22.10,34.80,21.20,17.20,1.50,19.10,43.20,72.40,100.00,0.50,26.60,49.70,74.90,98.50,2.00,35.70,56.30,71.90,99.50,26
35.60,40.80,23.60,29.00,17.70,17.30,0.70,22.50,49.30,77.10,99.60,0.40,26.80,56.00,76.10,98.60,2.50,21.80,40.80,62.00,100.00,26
33.60,42.10,24.30,30.90,19.70,19.40,1.90,26.80,50.50,76.60,98.80,0.30,24.90,48.60,73.80,99.40,0.60,18.10,48.90,75.10,100.00,26
30.60,37.60,31.70,22.20,21.10,22.20,5.90,27.40,46.20,73.70,98.90,0.50,23.10,52.20,73.10,100.00,3.20,20.40,45.70,76.30,97.80,26
36.10,35.10,28.80,26.00,22.50,20.10,0.50,30.20,53.70,74.10,98.00,1.50,15.60,41.00,72.20,99.00,2.40,25.40,49.80,75.10,100.00,26
32.10,35.40,32.50,21.20,24.30,23.90,0.40,20.60,45.80,77.90,100.00,0.20,27.70,49.50,68.60,99.30,1.80,23.70,52.00,77.20,99.60,26
31.90,34.80,33.30,22.40,22.10,22.80,0.70,27.10,49.50,73.60,100.00,0.40,16.80,46.90,69.20,99.60,3.70,27.50,52.40,79.50,99.30,26
36.10,37.30,26.70,28.70,18.50,21.30,0.80,28.60,52.20,76.10,99.20,0.40,23.90,51.40,80.00,99.60,1.60,19.60,43.50,65.50,100.00,26
35.60,38.60,25.80,25.50,18.70,18.30,0.80,29.20,51.70,78.80,99.20,0.40,21.60,52.10,75.40,99.60,5.10,21.20,35.60,65.30,100.00,26
32.80,39.90,27.20,23.60,17.60,22.10,0.70,28.70,52.60,77.60,99.60,0.40,22.00,51.10,71.60,100.00,1.10,23.10,41.00,75.70,99.30,26
32.50,36.50,30.90,25.40,22.20,18.10,1.20,29.30,49.40,75.50,98.80,1.60,18.50,49.80,79.10,99.20,0.40,21.70,45.40,65.90,100.00,26
35.90,44.20,19.90,36.50,14.80,17.00,1.30,23.40,47.60,73.60,98.70,0.40,25.50,52.80,75.80,99.60,3.50,21.20,44.60,73.20,100.00,26
34.80,39.10,26.10,24.40,20.00,15.60,15.20,26.10,52.20,80.40,97.80,2.20,10.90,65.20,78.30,100.00,6.50,21.70,37.00,50.00,67.40,26
32.40,37.50,30.10,28.00,19.40,25.70,0.60,25.60,46.00,75.00,98.90,1.10,22.20,47.20,69.30,99.40,2.80,26.10,58.00,74.40,100.00,30
33.60,36.90,29.40,22.50,27.20,20.70,2.80,28.50,51.90,74.80,98.60,0.90,23.40,45.30,75.70,99.50,0.50,20.60,49.10,71.00,100.00,30
35.30,29.30,35.30,18.20,32.60,22.70,0.80,22.60,50.40,77.40,99.20,1.50,19.50,49.60,69.90,98.50,5.30,26.30,45.10,73.70,100.00,30
39.70,29.40,30.90,22.70,22.20,20.70,2.00,24.50,51.00,77.90,100.00,1.00,23.50,50.00,73.00,98.00,0.50,22.10,42.60,70.10,97.50,30
28.80,44.50,26.50,25.60,16.90,24.20,0.90,25.30,48.40,71.70,98.20,0.50,22.80,51.20,78.10,100.00,1.60,26.30,49.30,72.60,99.30,30
30.30,44.90,24.90,24.50,19.60,25.00,2.70,25.90,43.80,70.80,100.00,0.50,23.80,49.70,74.60,98.90,2.20,21.60,54.60,73.50,97.80,30
38.30,38.30,23.40,28.30,23.90,10.90,6.40,19.10,40.40,76.60,95.70,2.10,21.30,55.30,68.10,100.00,12.80,14.90,36.20,72.30,93.60,30
33.90,33.90,32.20,20.70,22.40,27.60,1.70,11.90,44.10,71.20,98.30,3.40,32.20,66.10,79.70,96.60,15.30,25.40,40.70,59.30,100.00,31
36.80,21.10,42.10,16.10,30.40,12.50,5.30,14.00,45.60,68.40,98.20,10.50,26.30,47.40,80.70,89.50,1.80,22.80,52.60,73.70,100.00,31
31.60,28.90,39.50,22.70,25.30,22.70,3.90,25.00,44.70,69.70,97.40,2.60,42.10,59.20,78.90,98.70,1.30,18.40,39.50,64.50,100.00,31
32.40,26.80,40.80,15.70,27.10,17.10,7.00,18.30,43.70,74.60,95.80,1.40,5.60,39.40,66.20,94.40,8.50,28.20,50.70,71.80,100.00,31
32.80,29.30,37.90,19.30,22.80,24.60,6.90,17.20,44.80,65.50,94.80,1.70,20.70,39.70,60.30,89.70,5.20,25.90,58.60,74.10,100.00,31
34.50,24.10,41.40,15.80,26.30,26.30,6.90,19.00,50.00,82.80,98.30,3.40,22.40,41.40,69.00,96.60,1.70,24.10,53.40,70.70,100.00,31
36.20,31.90,31.90,22.10,27.90,13.20,2.90,24.60,47.80,62.30,98.60,1.40,27.50,44.90,73.90,100.00,4.30,17.40,56.50,81.20,95.70,31
29.00,27.40,43.50,14.80,31.10,19.70,4.80,22.60,40.30,53.20,93.50,1.60,27.40,58.10,66.10,82.30,6.50,19.40,43.50,79.00,100.00,31
33.00,30.10,36.90,23.50,23.50,22.50,4.90,23.30,46.60,73.80,98.10,1.00,18.40,43.70,72.80,97.10,2.90,22.30,55.30,70.90,100.00,32
34.80,31.90,33.30,26.50,26.50,19.10,5.80,29.00,52.20,72.50,98.60,1.40,17.40,60.90,73.90,92.80,4.30,21.70,39.10,63.80,100.00,32
38.20,35.50,26.40,23.90,21.10,17.40,1.80,30.00,57.30,70.90,100.00,0.90,17.30,40.00,81.80,98.20,3.60,24.50,49.10,72.70,94.50,32
39.10,34.50,26.40,22.00,23.90,15.60,1.80,16.40,46.40,72.70,99.10,2.70,23.60,40.00,63.60,100.00,0.90,32.70,59.10,78.20,98.20,32
37.80,33.70,28.60,30.90,21.60,16.50,1.00,25.50,52.00,72.40,99.00,2.00,32.70,55.10,73.50,96.90,4.10,19.40,43.90,69.40,100.00,32
29.40,28.70,41.90,16.30,22.20,30.40,1.50,21.30,49.30,72.10,99.30,4.40,20.60,40.40,71.30,100.00,0.70,29.40,51.50,77.20,97.80,32
28.00,37.60,34.40,19.60,19.60,27.20,6.50,21.50,47.30,60.20,94.60,1.10,22.60,51.60,74.20,97.80,3.20,23.70,62.40,76.30,100.00,32
30.70,28.50,40.90,16.90,25.00,24.30,5.80,31.40,59.90,75.90,100.00,2.20,25.50,49.60,75.20,99.30,0.70,19.00,38.00,68.60,98.50,32
31.10,31.10,37.90,21.50,24.70,26.20,0.70,21.10,47.50,67.90,100.00,0.40,30.00,53.60,83.60,97.90,1.80,22.50,47.90,71.40,98.90,32
34.90,29.10,36.00,20.10,28.20,21.80,1.10,22.90,41.10,68.60,96.60,0.60,21.70,44.60,63.40,98.30,2.30,24.60,62.90,81.10,100.00,32
31.30,29.90,38.80,16.70,27.30,33.30,1.50,13.40,38.80,56.70,94.00,6.00,32.80,59.70,85.10,100.00,4.50,19.40,50.70,74.60,98.50,32
37.60,32.90,29.40,26.20,27.40,17.90,1.20,36.50,51.80,78.80,97.60,8.20,20.00,55.30,71.80,100.00,2.40,17.60,35.30,58.80,95.30,32
34.60,21.00,44.40,16.20,28.80,21.20,4.90,22.20,43.20,72.80,98.80,8.60,23.50,46.90,75.30,97.50,1.20,28.40,51.90,70.40,100.00,32
33.90,30.70,35.40,18.30,17.50,28.60,2.40,16.50,48.80,76.40,100.00,0.80,18.90,44.10,73.20,99.20,1.60,24.40,55.10,72.40,92.90,33
34.90,24.70,40.40,17.90,29.70,20.70,1.40,24.70,45.90,72.60,100.00,8.90,32.20,50.70,81.50,99.30,0.70,19.20,48.60,70.50,98.60,33
35.90,29.60,34.50,20.60,24.80,19.90,2.10,19.70,42.30,78.90,99.30,0.70,33.80,64.80,76.10,96.50,1.40,20.40,47.20,62.00,100.00,33
37.90,29.70,32.40,16.00,27.10,20.10,1.40,17.20,46.90,75.90,99.30,13.10,33.80,58.60,77.90,95.90,0.70,17.90,44.80,66.90,100.00,33
35.70,32.90,31.40,19.40,21.60,20.90,0.70,20.70,49.30,69.30,97.10,3.60,39.30,61.40,80.70,99.30,2.10,22.10,36.40,70.70,100.00,33
36.20,32.30,31.50,22.20,15.10,20.60,3.90,22.80,56.70,77.20,100.00,1.60,16.50,44.90,68.50,98.40,0.80,26.80,46.50,67.70,95.30,33
34.90,30.10,34.90,24.80,23.00,20.00,0.60,23.50,53.00,75.30,97.60,3.00,20.50,41.00,60.20,95.80,2.40,29.50,60.80,79.50,100.00,33
24.60,27.10,48.30,14.50,19.70,29.90,0.80,30.50,51.70,70.30,100.00,1.70,16.90,42.40,71.20,94.90,2.50,24.60,50.00,75.40,97.50,33
25.50,49.00,25.50,19.80,16.00,19.10,0.80,19.40,44.50,69.20,99.20,0.40,29.70,54.40,76.00,100.00,2.70,21.30,48.70,69.60,99.60,35
27.60,53.60,18.80,28.90,12.20,20.00,0.60,22.70,49.20,71.80,100.00,1.10,24.30,53.60,77.30,98.90,2.80,25.40,41.40,61.30,94.50,35
28.80,49.50,21.70,31.00,11.70,24.90,1.50,20.20,43.40,74.20,99.00,0.50,24.20,49.00,72.70,100.00,1.00,28.80,55.60,78.30,96.00,35
39.50,41.90,18.60,31.00,19.00,16.70,2.30,16.30,41.90,69.80,97.70,7.00,18.60,46.50,62.80,90.70,23.30,34.90,53.50,76.70,100.00,35
27.80,30.60,41.70,20.00,20.00,28.60,5.60,25.00,41.70,77.80,91.70,2.80,8.30,19.40,52.80,97.20,16.70,33.30,58.30,72.20,100.00,35
29.80,37.70,32.50,23.30,22.70,30.00,1.30,19.20,39.70,70.20,100.00,6.60,31.80,58.30,79.50,98.00,0.70,18.50,41.70,68.90,99.30,35
37.30,26.90,35.80,22.70,28.80,15.20,4.50,16.40,41.80,64.20,98.50,6.00,49.30,74.60,85.10,100.00,1.50,20.90,34.30,61.20,92.50,35
33.60,37.50,28.90,21.90,19.20,24.50,3.90,24.30,49.30,75.00,97.40,0.70,26.30,52.60,73.70,100.00,1.30,19.10,41.40,67.80,99.30,35
36.70,30.30,33.00,20.40,27.80,20.40,1.80,20.20,55.00,79.80,98.20,0.90,23.90,44.00,58.70,100.00,3.70,27.50,49.50,77.10,97.20,35
34.70,27.30,38.10,20.60,27.40,18.90,2.30,25.60,51.70,73.30,98.90,4.00,26.10,47.20,73.90,100.00,0.60,21.60,46.60,74.40,99.40,39
