@relation S-train

@attribute S1 real
@attribute S2 real
@attribute S3 real
@attribute S4 real
@attribute S5 real
@attribute S6 real
@attribute S7 real
@attribute S8 real
@attribute S9 real
@attribute S10 real
@attribute S11 real
@attribute S12 real
@attribute S13 real
@attribute S14 real      
@attribute S15 real      
@attribute S16 real
@attribute S17 real
@attribute S18 real
@attribute S19 real
@attribute S20 real
@attribute S21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
55.70,0.00,44.30,0.00,12.80,0.00,3.80,44.30,58.20,84.80,98.70,0.00,0.00,0.00,0.00,0.00,1.30,22.80,34.20,60.80,100.00,3
33.80,5.00,61.20,0.00,7.60,2.50,5.00,62.50,71.20,87.50,96.20,46.20,46.20,47.50,48.80,50.00,1.20,21.20,36.20,56.20,100.00,3
50.00,0.00,50.00,0.00,8.60,0.00,4.30,52.10,67.00,79.80,96.80,0.00,0.00,0.00,0.00,0.00,1.10,20.20,33.00,45.70,100.00,3
74.10,0.00,25.90,0.00,11.30,0.00,9.30,25.90,50.00,75.90,94.40,0.00,0.00,0.00,0.00,0.00,1.90,5.60,40.70,70.40,100.00,4
55.80,0.00,44.20,0.00,7.90,0.00,6.50,18.20,37.70,51.90,96.10,0.00,0.00,0.00,0.00,0.00,1.30,29.90,63.60,74.00,100.00,4
49.20,0.00,50.80,0.00,10.30,0.00,16.90,27.10,49.20,61.00,94.90,0.00,0.00,0.00,0.00,0.00,1.70,11.90,45.80,72.90,100.00,4
59.00,0.00,41.00,0.00,10.00,0.00,18.00,31.10,54.10,75.40,90.20,0.00,0.00,0.00,0.00,0.00,1.60,9.80,39.30,65.60,100.00,4
52.00,0.00,48.00,0.00,12.20,0.00,14.00,24.00,44.00,56.00,78.00,0.00,0.00,0.00,0.00,0.00,2.00,12.00,62.00,88.00,100.00,4
30.20,0.00,69.80,0.00,4.80,0.00,9.30,14.00,20.90,27.90,37.20,0.00,0.00,0.00,0.00,0.00,2.30,46.50,65.10,81.40,100.00,4
54.50,0.00,45.50,0.00,11.10,0.00,16.40,27.30,49.10,70.90,85.50,0.00,0.00,0.00,0.00,0.00,1.80,10.90,47.30,87.30,100.00,4
60.00,0.00,40.00,0.00,12.20,0.00,12.00,24.00,46.00,70.00,86.00,0.00,0.00,0.00,0.00,0.00,2.00,10.00,62.00,90.00,100.00,4
52.80,8.30,38.90,0.00,8.50,5.60,8.30,19.40,41.70,59.70,73.60,77.80,77.80,80.60,91.70,94.40,1.40,31.90,52.80,86.10,100.00,4
44.10,8.80,47.10,0.00,9.00,6.00,2.90,11.80,51.50,66.20,77.90,38.20,38.20,41.20,95.60,98.50,1.50,27.90,44.10,83.80,100.00,4
54.10,0.00,45.90,0.00,8.20,0.00,6.80,18.90,39.20,60.80,74.30,0.00,0.00,0.00,0.00,0.00,1.40,29.70,77.00,87.80,100.00,4
34.00,13.20,52.80,1.00,4.80,4.80,3.80,11.30,38.70,52.80,61.30,21.70,23.60,32.10,64.20,67.90,0.90,30.20,73.60,86.80,100.00,4
85.40,0.00,14.60,0.00,8.40,0.00,1.40,24.30,51.40,75.70,97.90,0.00,0.00,0.00,0.00,0.00,0.70,21.50,43.10,72.90,100.00,7
74.00,0.00,26.00,0.00,8.30,0.00,5.50,23.30,45.20,69.20,94.50,0.00,0.00,0.00,0.00,0.00,0.70,32.20,53.40,81.50,100.00,7
79.20,0.00,20.80,0.00,7.60,0.00,2.80,24.50,57.50,79.20,99.10,0.00,0.00,0.00,0.00,0.00,0.90,20.80,44.30,49.10,100.00,7
70.10,0.00,29.90,0.00,6.30,0.00,3.10,19.70,61.40,78.70,97.60,0.00,0.00,0.00,0.00,0.00,0.80,28.30,48.00,55.10,100.00,7
65.50,0.00,34.50,0.00,7.10,0.00,19.50,37.20,54.00,72.60,92.90,0.00,0.00,0.00,0.00,0.00,0.90,8.00,16.80,77.90,100.00,7
21.40,22.10,56.50,0.00,3.90,9.20,22.10,26.60,31.80,68.20,74.00,5.80,15.60,44.80,63.00,87.00,0.60,20.10,50.60,82.50,100.00,7
66.90,3.20,29.90,0.00,6.50,1.30,13.60,29.20,48.10,77.90,98.10,68.80,68.80,69.50,70.10,71.40,0.60,7.10,35.10,74.00,100.00,7
69.20,0.00,30.80,0.00,11.40,0.00,2.50,20.80,50.90,73.00,98.10,0.00,0.00,0.00,0.00,0.00,0.60,24.50,35.20,74.20,100.00,9
65.70,0.00,34.30,0.00,5.80,0.00,8.10,27.90,52.90,71.50,98.80,0.00,0.00,0.00,0.00,0.00,0.60,23.80,35.50,77.30,100.00,9
48.80,1.20,50.00,0.60,6.70,0.60,3.60,15.10,46.40,70.50,94.60,92.20,92.20,92.80,92.80,92.80,0.60,29.50,56.00,77.10,100.00,9
48.70,8.40,42.90,0.80,7.60,2.50,7.60,18.50,48.70,68.10,93.30,29.40,30.30,32.80,79.80,82.40,0.80,23.50,52.10,73.90,100.00,9
57.40,0.00,42.60,0.00,7.80,0.00,3.90,34.90,58.10,72.10,96.90,0.00,0.00,0.00,0.00,0.00,0.80,20.20,31.00,75.20,100.00,9
48.30,9.10,42.70,1.40,5.60,2.80,9.10,20.30,42.70,67.10,83.90,21.00,22.40,50.30,52.40,93.00,0.70,25.90,62.20,86.00,100.00,9
76.20,0.00,23.80,0.00,8.00,0.00,6.00,29.80,52.30,78.80,98.70,0.00,0.00,0.00,0.00,0.00,0.70,21.20,32.50,68.20,100.00,9
75.50,7.50,17.00,1.90,4.40,1.90,2.50,27.00,58.50,77.40,98.10,17.00,18.20,39.60,48.40,50.30,0.60,15.70,42.80,47.20,100.00,9
61.30,2.50,36.10,0.80,9.30,0.80,3.40,28.60,48.70,76.50,97.50,54.60,54.60,55.50,56.30,56.30,0.80,18.50,35.30,72.30,100.00,9
53.90,0.00,46.10,0.00,13.30,0.00,7.90,19.70,44.70,71.10,97.40,0.00,0.00,0.00,0.00,0.00,1.30,25.00,50.00,73.70,100.00,11
43.10,8.30,48.60,0.00,7.40,3.70,3.70,12.80,29.40,69.70,80.70,59.60,60.60,88.10,89.90,92.70,0.90,33.90,53.20,81.70,100.00,11
61.80,5.90,32.40,3.00,9.10,3.00,11.80,23.50,38.20,79.40,97.10,61.80,61.80,64.70,64.70,64.70,2.90,5.90,44.10,52.90,100.00,11
62.20,6.50,31.40,2.20,9.20,2.20,0.50,22.70,43.20,75.70,98.40,18.90,20.00,37.30,56.80,83.80,5.40,27.60,55.10,71.40,100.00,11
61.50,3.40,35.10,1.20,7.50,1.20,0.60,20.10,44.30,67.80,91.40,63.20,63.20,64.40,82.80,83.90,9.20,35.60,59.80,81.60,100.00,11
59.50,3.20,37.30,1.10,7.60,1.10,2.20,21.10,43.80,68.10,91.90,13.50,13.50,14.60,41.10,42.20,0.50,38.90,64.30,83.20,100.00,11
38.90,6.70,54.40,0.00,6.80,4.10,2.70,52.30,69.10,83.90,98.00,16.80,17.40,30.90,32.20,43.00,0.70,24.80,40.30,64.40,100.00,11
4.70,21.10,74.20,0.00,0.90,7.50,36.60,37.10,38.50,39.40,40.80,8.00,21.10,43.70,62.00,84.00,0.50,25.80,55.90,79.80,100.00,20
18.90,28.20,52.90,0.50,4.40,10.20,26.20,33.00,47.60,60.20,97.10,1.90,13.10,41.30,68.90,91.30,0.50,24.80,51.50,77.20,100.00,20
0.00,44.40,55.60,0.00,0.00,14.70,0.00,0.00,0.00,0.00,0.00,1.10,21.90,52.20,80.90,97.80,0.60,27.00,42.70,73.60,100.00,20
24.90,19.20,55.90,0.00,4.50,8.00,12.40,18.10,75.70,82.50,98.30,24.90,31.60,52.00,59.30,68.40,0.60,22.00,41.20,69.50,100.00,20
26.30,12.80,60.90,0.00,4.50,5.60,21.20,26.80,52.50,78.20,88.80,32.40,36.90,44.10,62.00,67.00,0.60,15.10,47.50,76.00,100.00,20
11.90,26.70,61.40,0.00,4.00,10.00,60.40,62.40,65.30,93.10,96.00,7.90,23.80,38.60,52.50,85.10,1.00,18.80,44.60,75.20,100.00,20
9.20,32.70,58.20,0.00,2.10,12.40,63.30,64.30,66.30,68.40,71.40,6.10,23.50,37.80,79.60,95.90,1.00,19.40,48.00,74.50,100.00,20
2.20,37.40,60.40,1.10,1.10,12.20,16.50,16.50,17.60,17.60,17.60,18.70,33.00,50.50,70.30,86.80,1.10,14.30,49.50,76.90,100.00,20
0.00,27.30,72.70,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,9.10,25.30,38.40,66.70,83.80,1.00,22.20,51.50,75.80,100.00,20
11.40,18.40,70.20,0.90,2.70,8.00,14.00,15.80,18.40,42.10,45.60,21.10,29.80,67.50,80.70,97.40,0.90,28.10,53.50,76.30,100.00,20
12.60,19.40,68.00,1.00,2.90,6.90,15.50,17.50,90.30,93.20,97.10,12.60,40.80,54.40,66.00,70.90,1.00,24.30,45.60,74.80,100.00,20
0.00,49.50,50.50,0.00,0.00,15.60,0.00,0.00,0.00,0.00,0.00,9.90,33.00,61.50,82.40,97.80,1.10,15.40,41.80,58.20,100.00,20
0.00,50.00,50.00,0.00,0.00,15.80,0.00,0.00,0.00,0.00,0.00,8.80,30.40,52.00,77.50,98.00,1.00,15.70,46.10,73.50,100.00,20
0.00,62.40,37.60,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,4.70,27.10,56.50,80.00,98.80,1.20,16.50,35.30,60.00,100.00,20
2.20,38.60,59.20,0.00,0.90,7.90,39.50,39.50,39.90,40.40,41.20,5.30,19.30,32.50,50.90,99.60,0.40,36.00,61.00,80.70,100.00,20
0.00,47.00,53.00,0.00,0.00,13.10,0.00,0.00,0.00,0.00,0.00,20.00,46.00,62.00,85.00,100.00,1.00,13.00,29.00,52.00,92.00,20
0.00,64.20,35.80,0.00,0.00,18.50,0.00,0.00,0.00,0.00,0.00,4.60,35.80,58.70,80.70,99.10,0.90,15.60,27.50,55.00,100.00,20
0.00,42.60,57.40,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,7.90,35.60,62.40,87.10,98.00,1.00,16.80,42.60,63.40,100.00,20
0.00,64.30,35.70,0.00,0.00,16.20,0.00,0.00,0.00,0.00,0.00,2.70,29.50,47.30,73.20,97.30,0.90,13.40,52.70,79.50,100.00,20
0.00,26.70,73.30,0.00,0.00,9.40,0.00,0.00,0.00,0.00,0.00,2.70,12.00,31.30,77.30,98.00,0.70,28.70,50.00,72.00,100.00,20
0.00,56.00,44.00,0.00,0.00,15.60,0.00,0.00,0.00,0.00,0.00,4.40,26.40,48.40,73.60,96.70,1.10,23.10,51.60,79.10,100.00,20
0.00,59.60,40.40,0.00,0.00,15.90,0.00,0.00,0.00,0.00,0.00,5.60,24.70,55.10,80.90,98.90,1.10,16.90,43.80,60.70,100.00,20
0.00,63.00,37.00,0.00,0.00,14.10,0.00,0.00,0.00,0.00,0.00,10.00,35.00,57.00,81.00,99.00,1.00,9.00,32.00,60.00,100.00,20
6.70,16.70,76.70,0.00,2.20,9.00,40.00,40.00,42.20,43.30,45.60,14.40,16.70,35.60,71.10,90.00,1.10,23.30,52.20,75.60,100.00,20
18.90,14.20,67.00,1.00,2.90,6.70,36.80,40.60,45.30,71.70,76.40,22.60,24.50,78.30,91.50,96.20,0.90,16.00,50.90,67.90,100.00,20
18.40,16.30,65.30,0.00,2.10,6.20,57.10,60.20,65.30,69.40,74.50,4.10,7.10,30.60,34.70,51.00,1.00,22.40,45.90,83.70,100.00,20
21.80,7.60,70.60,0.00,3.40,5.10,24.40,28.60,84.90,89.90,95.80,15.10,16.00,55.50,57.10,73.10,0.80,20.20,46.20,66.40,100.00,20
8.90,48.10,43.00,0.00,2.20,11.90,0.70,2.20,4.40,64.40,66.70,9.60,23.70,48.90,73.30,97.80,5.90,30.40,51.10,77.00,100.00,20
6.10,32.30,61.60,0.00,2.00,8.20,35.40,35.40,37.40,38.40,40.40,7.10,23.20,64.60,79.80,87.90,1.00,20.20,49.50,73.70,100.00,20
3.30,33.60,63.10,0.00,0.90,13.10,48.10,48.10,49.10,50.00,50.90,1.90,22.40,43.90,76.60,92.10,0.50,26.20,52.80,74.80,100.00,20
0.00,34.30,65.70,0.00,0.00,12.20,0.00,0.00,0.00,0.00,0.00,2.00,21.20,69.70,80.80,99.00,1.00,24.20,47.50,63.60,100.00,23
16.30,35.00,48.80,0.00,3.30,11.50,79.70,82.90,90.20,94.30,98.40,1.60,8.90,23.60,58.50,74.80,0.80,33.30,45.50,66.70,100.00,23
0.00,37.10,62.90,0.00,0.00,11.50,0.00,0.00,0.00,0.00,0.00,21.00,40.00,75.20,87.60,99.00,1.00,15.20,38.10,60.00,100.00,23
17.80,27.10,55.00,0.80,3.90,11.70,10.10,13.20,30.20,92.20,96.90,17.10,35.70,56.60,72.90,86.80,0.80,20.90,48.80,71.30,100.00,23
7.00,25.60,67.40,0.00,2.40,11.80,90.70,90.70,93.00,94.20,96.50,20.90,25.60,55.80,66.30,80.20,1.20,16.30,45.30,70.90,100.00,23
0.00,45.70,54.30,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,2.30,17.10,36.40,72.90,94.60,0.80,31.00,55.00,75.20,100.00,23
8.10,36.40,55.50,0.00,1.90,10.60,9.60,11.00,12.90,92.80,95.20,2.90,40.20,53.60,65.10,80.90,0.50,24.40,44.00,81.80,100.00,23
9.30,35.00,55.60,0.00,2.80,11.30,17.80,19.60,81.30,94.40,96.70,3.30,12.10,50.00,71.50,86.40,0.50,26.60,47.70,69.60,100.00,23
3.80,39.60,56.60,0.00,1.30,10.10,84.90,84.90,86.20,86.80,88.10,4.40,25.80,45.30,73.00,94.30,0.60,16.40,53.50,67.30,100.00,23
15.80,17.20,67.10,0.50,3.30,7.10,10.60,42.10,49.20,67.80,90.60,6.10,19.50,55.80,82.40,96.90,0.20,22.40,47.80,74.80,100.00,26
5.10,33.10,61.70,0.00,1.10,12.60,92.60,93.10,94.30,95.40,97.10,9.70,28.00,45.70,69.70,88.00,0.60,19.40,48.00,72.60,100.00,26
6.50,45.10,48.40,0.00,2.20,9.80,2.20,3.30,4.90,58.70,60.30,8.20,30.40,62.00,77.70,98.90,0.50,23.90,48.90,70.10,100.00,26
25.60,22.60,51.80,3.00,4.00,7.10,4.50,18.60,27.60,73.90,93.50,2.00,12.10,61.30,83.40,98.50,0.50,34.20,49.70,67.80,100.00,26
13.00,25.40,61.60,0.00,3.50,9.90,31.70,37.70,46.80,54.60,98.90,14.10,27.50,68.30,82.40,93.30,0.40,16.20,43.00,70.10,100.00,26
23.40,18.10,58.60,0.60,5.00,6.90,6.90,54.20,73.80,92.80,99.10,4.40,22.40,49.50,71.00,90.30,0.30,19.60,38.90,63.90,100.00,26
22.60,17.70,59.70,1.10,4.30,7.60,17.70,34.90,80.10,85.50,98.40,6.50,13.40,36.60,62.40,92.50,0.50,24.20,50.00,70.40,100.00,26
11.70,27.80,60.50,0.00,2.00,10.80,19.50,22.00,24.90,59.50,62.40,8.80,39.00,53.70,82.00,96.60,0.50,16.60,44.90,74.60,100.00,26
12.00,19.70,68.20,0.50,2.40,8.60,11.30,19.30,28.30,69.20,92.30,2.60,18.80,42.00,74.80,98.00,0.20,29.70,54.60,75.90,100.00,26
16.50,15.40,68.10,0.70,2.20,5.90,28.20,31.90,36.30,82.10,86.40,15.00,22.70,41.40,58.60,81.70,0.40,17.90,54.20,75.10,100.00,26
2.40,35.30,62.40,0.40,1.20,12.20,1.60,1.60,2.40,2.70,9.40,3.90,36.10,53.30,74.90,94.50,0.40,22.40,49.40,76.50,100.00,26
17.80,14.40,67.80,0.90,5.10,6.00,17.40,32.60,61.00,88.60,94.90,5.50,47.50,64.00,69.10,87.70,0.40,21.20,41.90,71.60,100.00,26
6.70,19.00,74.30,0.40,1.90,7.90,1.50,2.60,32.80,59.00,60.80,11.90,34.30,53.40,84.00,92.90,0.40,23.90,47.40,75.70,100.00,26
14.10,24.10,61.80,1.20,2.00,10.10,1.60,17.30,20.90,37.80,47.40,10.00,39.40,52.60,74.70,98.80,0.40,25.30,58.60,79.90,100.00,26
18.20,21.20,60.60,0.40,3.00,8.30,18.20,39.00,43.70,62.80,91.30,1.70,33.80,48.50,69.30,83.50,0.40,21.20,52.40,77.90,100.00,26
56.50,0.00,43.50,0.00,8.90,0.00,19.60,30.40,65.20,78.30,93.50,0.00,0.00,0.00,0.00,0.00,2.20,10.90,43.50,54.30,100.00,26
0.60,33.00,66.50,0.00,1.10,10.30,19.30,19.30,19.30,19.30,19.30,7.40,34.70,64.80,83.00,98.30,0.60,19.90,47.70,67.60,100.00,30
0.00,34.10,65.90,0.00,0.00,12.20,0.00,0.00,0.00,0.00,0.00,9.30,36.00,53.30,68.70,86.40,0.50,22.00,45.30,79.00,100.00,30
0.00,68.40,31.60,0.00,0.00,16.70,0.00,0.00,0.00,0.00,0.00,2.30,24.80,45.10,72.20,99.20,0.80,20.30,57.90,75.90,100.00,30
4.40,44.10,51.50,0.00,1.00,12.80,81.40,81.90,82.80,83.80,85.30,3.40,23.50,36.80,53.40,98.00,0.50,22.50,58.30,73.50,100.00,30
10.60,32.50,56.90,0.20,2.50,10.90,14.70,18.70,77.90,81.30,94.70,3.00,21.00,32.90,69.40,97.90,0.20,32.00,50.70,70.70,100.00,30
0.00,24.90,75.10,0.00,0.00,10.90,0.00,0.00,0.00,0.00,0.00,8.60,26.50,43.20,70.30,91.90,0.50,23.80,50.80,75.10,100.00,30
38.30,10.60,51.10,0.00,4.30,4.30,57.40,63.80,74.50,83.00,93.60,38.30,38.30,40.40,42.60,46.80,2.10,12.80,25.50,48.90,100.00,30
8.50,13.60,78.00,0.00,3.40,6.90,8.50,8.50,10.20,11.90,15.30,44.10,45.80,49.20,62.70,66.10,1.70,27.10,55.90,79.70,100.00,31
0.00,47.40,52.60,0.00,0.00,17.90,0.00,0.00,0.00,0.00,0.00,5.30,43.90,64.90,80.70,98.20,1.80,19.30,33.30,57.90,100.00,31
7.90,40.80,51.30,1.30,1.30,9.30,40.80,40.80,43.40,44.70,47.40,1.30,9.20,69.70,85.50,100.00,10.50,21.10,50.00,63.20,92.10,31
0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,23.90,49.30,74.60,100.00,31
0.00,24.10,75.90,0.00,0.00,10.50,0.00,0.00,0.00,0.00,0.00,8.60,12.10,48.30,53.40,87.90,1.70,24.10,55.20,74.10,100.00,31
10.30,13.80,75.90,0.00,3.50,7.00,6.90,6.90,10.30,12.10,15.50,32.80,34.50,44.80,48.30,51.70,1.70,29.30,62.10,81.00,100.00,31
0.00,37.70,62.30,0.00,0.00,14.70,0.00,0.00,0.00,0.00,0.00,8.70,29.00,52.20,81.20,97.10,1.40,21.70,47.80,72.50,100.00,31
9.70,48.40,41.90,0.00,3.30,16.40,87.10,87.10,90.30,91.90,95.20,3.20,19.40,37.10,51.60,72.60,1.60,25.80,59.70,79.00,100.00,31
25.20,44.70,30.10,0.00,3.90,9.80,4.90,9.70,63.10,68.90,75.70,14.60,24.30,37.90,81.60,98.10,1.00,12.60,49.50,76.70,100.00,32
18.80,49.30,31.90,0.00,2.90,17.60,49.30,52.20,56.50,60.90,66.70,4.30,14.50,34.80,73.90,98.60,1.40,24.60,47.80,81.20,100.00,32
28.20,14.50,57.30,0.00,3.70,5.50,13.60,19.10,48.20,55.50,62.70,27.30,30.00,36.40,66.40,70.00,0.90,25.50,70.90,85.50,100.00,32
31.80,8.20,60.00,0.00,5.50,3.70,26.40,32.70,60.90,69.10,92.70,3.60,4.50,6.40,10.90,13.60,0.90,22.70,50.00,76.40,100.00,32
34.70,9.20,56.10,0.00,4.10,4.10,9.20,16.30,57.10,65.30,74.50,26.50,27.60,29.60,37.80,40.80,1.00,24.50,48.00,85.70,100.00,32
27.20,31.60,41.20,0.00,4.40,10.40,36.80,42.60,71.30,88.20,95.60,2.20,8.80,19.90,51.50,78.70,0.70,30.90,55.10,76.50,100.00,32
11.80,51.60,36.60,0.00,2.20,14.10,4.30,5.40,8.60,11.80,15.10,18.30,30.10,64.50,77.40,100.00,1.10,39.80,54.80,63.40,98.90,32
39.40,14.60,46.00,1.50,4.40,5.90,29.20,38.70,48.90,73.70,92.00,8.80,11.70,22.60,77.40,94.90,0.70,14.60,55.50,69.30,100.00,32
22.50,16.10,61.40,0.40,4.70,6.10,1.40,20.70,52.10,78.90,98.90,5.40,17.10,45.70,61.40,87.10,0.40,26.40,44.60,73.60,100.00,32
16.60,34.90,48.60,0.60,1.70,9.80,73.10,76.60,80.60,93.70,98.30,4.60,17.70,40.60,54.30,89.70,0.60,21.10,42.30,66.30,100.00,32
0.00,34.30,65.70,0.00,0.00,12.10,0.00,0.00,0.00,0.00,0.00,10.40,26.90,40.30,68.70,77.60,1.50,20.90,56.70,83.60,100.00,32
0.00,32.90,67.10,0.00,0.00,11.90,0.00,0.00,0.00,0.00,0.00,2.40,35.30,51.80,70.60,98.80,1.20,21.20,45.90,77.60,100.00,32
21.00,27.20,51.90,0.00,5.00,10.00,55.60,59.30,85.20,90.10,96.30,4.90,9.90,24.70,44.40,71.60,1.20,28.40,46.90,72.80,100.00,32
3.90,41.70,54.30,0.80,2.40,15.90,29.10,29.10,29.90,30.70,75.60,0.80,17.30,43.30,66.90,99.20,5.50,25.20,55.10,81.10,100.00,33
15.80,30.10,54.10,1.40,2.80,9.70,2.70,5.50,24.00,71.90,76.00,14.40,28.80,44.50,65.80,89.00,0.70,29.50,57.50,84.20,100.00,33
0.00,52.10,47.90,0.00,0.00,16.30,0.00,0.00,0.00,0.00,0.00,2.80,25.40,43.70,71.10,100.00,0.70,23.90,57.00,78.20,96.50,33
28.30,25.50,46.20,0.00,4.20,9.70,2.80,9.00,17.20,24.10,32.40,38.60,46.20,56.60,77.90,90.30,0.70,44.80,63.40,85.50,100.00,33
21.40,32.90,45.70,1.40,4.30,12.90,30.70,35.00,66.40,82.10,97.10,3.60,28.60,47.90,68.60,90.70,0.70,13.60,41.40,72.10,100.00,33
0.00,29.90,70.10,0.00,0.00,12.70,0.00,0.00,0.00,0.00,0.00,4.70,28.30,52.00,66.10,89.00,0.80,23.60,48.80,78.00,100.00,33
0.00,44.00,56.00,0.00,0.00,14.50,0.00,0.00,0.00,0.00,0.00,8.40,33.10,57.20,77.10,98.80,0.60,21.10,41.60,65.70,100.00,33
0.00,53.40,46.60,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,1.70,19.50,46.60,70.30,98.30,0.80,24.60,55.10,77.10,100.00,33
6.80,30.40,62.70,0.40,1.90,11.10,24.00,25.10,88.20,92.80,94.70,9.50,20.90,44.90,68.10,87.10,0.40,23.20,49.00,72.60,100.00,35
7.20,54.70,38.10,0.60,1.70,15.00,17.70,18.80,93.40,95.00,97.20,2.80,24.90,55.80,77.90,99.40,0.60,28.20,42.50,65.70,100.00,35
4.00,54.50,41.40,0.50,0.50,14.70,92.90,93.40,94.40,95.50,96.50,1.00,21.20,40.40,61.60,92.40,0.50,30.80,54.00,82.80,100.00,35
0.00,14.00,86.00,0.00,0.00,4.80,0.00,0.00,0.00,0.00,0.00,30.20,30.20,34.90,37.20,41.90,2.30,20.90,55.80,76.70,100.00,35
58.30,0.00,41.70,0.00,11.40,0.00,33.30,44.40,61.10,75.00,91.70,0.00,0.00,0.00,0.00,0.00,2.80,8.30,19.40,30.60,100.00,35
12.60,17.90,69.50,0.00,2.70,8.00,7.90,9.90,13.20,32.50,35.80,18.50,43.70,74.80,86.10,94.00,0.70,27.20,52.30,71.50,100.00,35
10.40,0.00,89.60,0.00,3.00,0.00,71.60,71.60,74.60,77.60,80.60,0.00,0.00,0.00,0.00,0.00,1.50,22.40,44.80,67.20,100.00,35
10.50,25.00,64.50,0.00,2.60,7.90,47.40,49.30,93.40,96.10,98.70,25.70,42.10,59.20,75.70,89.50,0.70,15.80,36.80,65.10,100.00,35
13.80,20.20,66.10,0.00,1.90,7.40,84.40,86.20,89.90,93.60,97.20,9.20,12.80,54.10,64.20,69.70,0.90,21.10,41.30,62.40,100.00,35
7.40,48.90,43.80,0.60,1.70,9.70,11.90,84.70,86.40,88.10,90.30,12.50,27.30,43.20,64.80,94.90,0.60,10.80,47.70,80.10,100.00,39
