@relation H-train

@attribute H1 real
@attribute H2 real
@attribute H3 real
@attribute H4 real
@attribute H5 real
@attribute H6 real
@attribute H7 real
@attribute H8 real
@attribute H9 real
@attribute H10 real
@attribute H11 real
@attribute H12 real
@attribute H13 real
@attribute H14 real      
@attribute H15 real      
@attribute H16 real
@attribute H17 real
@attribute H18 real
@attribute H19 real
@attribute H20 real
@attribute H21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
25.00,48.80,26.20,21.50,17.70,20.30,1.20,25.00,56.20,83.80,98.80,2.50,21.20,37.50,75.00,100.00,7.50,27.50,46.20,61.20,91.20,3
37.20,39.40,23.40,26.90,17.20,23.70,2.10,23.40,53.20,70.20,100.00,1.10,18.10,44.70,72.30,97.90,5.30,25.50,52.10,75.50,94.70,3
51.90,24.10,24.10,22.60,24.50,15.10,1.90,29.60,50.00,74.10,98.10,3.70,9.30,22.20,61.10,96.30,11.10,25.90,59.30,79.60,100.00,4
45.50,29.90,24.70,25.00,21.10,13.20,1.30,24.70,42.90,76.60,98.70,6.50,19.50,55.80,68.80,100.00,2.60,15.60,50.60,74.00,97.40,4
47.50,25.40,27.10,24.10,27.60,13.80,3.40,25.40,55.90,81.40,98.30,1.70,6.80,42.40,66.10,100.00,10.20,23.70,45.80,69.50,84.70,4
49.20,19.70,31.10,15.00,23.30,13.30,1.60,18.00,49.20,83.60,98.40,9.80,16.40,36.10,45.90,100.00,13.10,26.20,54.10,73.80,96.70,4
36.00,36.00,28.00,18.40,16.30,28.60,4.00,16.00,34.00,48.00,100.00,2.00,26.00,60.00,74.00,88.00,8.00,30.00,56.00,66.00,98.00,4
39.50,32.60,27.90,23.80,21.40,21.40,4.70,11.60,30.20,67.40,100.00,2.30,41.90,53.50,72.10,97.70,14.00,27.90,44.20,69.80,90.70,4
43.60,25.50,30.90,24.10,25.90,16.70,7.30,23.60,47.30,78.20,100.00,9.10,14.50,50.90,65.50,94.50,1.80,12.70,34.50,61.80,98.20,4
44.00,32.00,24.00,28.60,18.40,20.40,2.00,18.00,44.00,72.00,98.00,4.00,26.00,48.00,68.00,90.00,8.00,24.00,52.00,76.00,100.00,4
36.10,36.10,27.80,26.80,19.70,21.10,2.80,18.10,47.20,72.20,100.00,4.20,30.60,50.00,68.10,90.30,1.40,19.40,48.60,77.80,95.80,4
33.80,32.40,33.80,23.90,22.40,23.90,1.50,22.10,47.10,70.60,94.10,4.40,20.60,36.80,66.20,95.60,2.90,19.10,55.90,76.50,100.00,4
29.70,47.30,23.00,24.70,20.50,17.80,9.50,25.70,48.60,67.60,100.00,1.40,14.90,40.50,74.30,98.60,10.80,36.50,60.80,71.60,97.30,4
37.70,28.30,34.00,18.10,24.80,19.00,9.40,29.20,50.90,78.30,100.00,0.90,17.00,47.20,67.00,91.50,3.80,22.60,45.30,73.60,97.20,4
42.40,28.50,29.20,25.90,31.50,16.10,1.40,25.70,48.60,75.70,97.90,0.70,27.80,50.00,72.90,100.00,2.80,17.40,43.80,71.50,96.50,7
37.00,38.40,24.70,31.70,19.30,16.60,1.40,20.50,49.30,74.00,98.60,3.40,33.60,52.70,78.10,99.30,0.70,17.80,43.20,72.60,100.00,7
46.20,33.00,20.80,31.40,28.60,7.60,1.90,19.80,47.20,75.50,100.00,0.90,33.00,50.00,82.10,99.10,2.80,15.10,45.30,64.20,88.70,7
32.30,44.90,22.80,37.30,15.10,21.40,0.80,16.50,48.80,74.00,100.00,1.60,29.10,52.80,75.60,95.30,5.50,17.30,38.60,64.60,97.60,7
35.40,34.50,30.10,30.40,21.40,18.80,5.30,34.50,52.20,75.20,99.10,0.90,16.80,47.80,68.10,98.20,1.80,17.70,41.60,74.30,100.00,7
30.50,39.00,30.50,24.20,21.60,19.00,5.80,26.60,47.40,70.80,94.20,0.60,20.80,52.60,77.90,100.00,2.60,17.50,44.80,74.00,98.70,7
31.80,42.20,26.00,28.10,18.30,24.80,3.20,26.60,53.20,79.20,100.00,0.60,18.80,48.10,67.50,99.40,2.60,27.90,42.90,74.70,97.40,7
23.90,40.30,35.80,15.80,20.90,29.70,2.50,15.70,49.70,71.10,98.10,0.60,28.90,52.80,77.40,100.00,1.30,25.20,47.20,69.80,99.40,9
31.40,35.50,33.10,19.90,24.00,23.40,0.60,24.40,52.90,74.40,98.80,1.20,21.50,40.70,67.40,99.40,2.30,29.70,55.80,73.30,100.00,9
32.50,33.10,34.30,22.40,22.40,24.80,4.80,19.90,43.40,71.10,97.00,1.20,22.30,42.80,74.10,99.40,0.60,27.10,52.40,75.30,100.00,9
31.90,36.10,31.90,21.20,25.40,20.30,5.90,21.80,43.70,68.90,100.00,0.80,15.10,51.30,69.70,95.80,7.60,31.90,55.50,83.20,99.20,9
37.20,32.60,30.20,20.30,23.40,20.30,1.60,28.70,55.00,79.10,97.70,0.80,26.40,45.00,72.90,100.00,2.30,18.60,50.40,72.10,98.40,9
39.90,24.50,35.70,19.00,30.30,19.70,1.40,28.70,54.50,79.00,99.30,0.70,8.40,42.70,66.40,98.60,2.80,23.80,44.80,75.50,100.00,9
41.10,24.50,34.40,20.00,33.30,22.70,0.70,23.80,51.00,74.80,100.00,1.30,17.20,47.00,72.20,96.70,2.00,24.50,44.40,74.20,98.70,9
40.30,23.30,36.50,13.90,33.50,14.60,1.30,17.00,46.50,73.00,100.00,0.60,29.60,47.80,71.70,96.90,2.50,27.70,50.90,76.70,98.70,9
47.10,17.60,35.30,13.60,39.00,10.20,0.80,29.40,52.90,76.50,100.00,1.70,16.00,22.70,44.50,91.60,3.40,27.70,54.60,77.30,98.30,9
43.40,26.30,30.30,24.00,30.70,10.70,2.60,23.70,44.70,73.70,100.00,3.90,19.70,46.10,59.20,98.70,1.30,31.60,52.60,81.60,97.40,11
36.70,34.90,28.40,23.10,17.60,23.10,3.70,28.40,48.60,73.40,99.10,0.90,18.30,58.70,77.10,100.00,1.80,22.00,43.10,64.20,97.20,11
44.10,29.40,26.50,27.30,30.30,12.10,2.90,11.80,41.20,64.70,91.20,5.90,20.60,55.90,79.40,100.00,17.60,29.40,38.20,67.60,88.20,11
40.00,30.30,29.70,23.40,22.80,21.20,1.60,22.70,57.80,81.10,100.00,1.10,24.90,43.20,65.40,95.70,0.50,22.20,49.20,76.80,99.50,11
34.50,31.60,33.90,22.50,21.40,20.80,1.10,19.50,46.60,66.10,96.00,0.60,26.40,50.60,75.30,98.90,1.70,27.60,52.30,77.00,100.00,11
39.50,29.20,31.40,21.70,29.30,20.70,1.60,20.00,39.50,69.20,99.50,0.50,28.60,54.60,82.20,100.00,1.10,22.20,51.90,70.80,97.80,11
38.90,28.20,32.90,20.30,29.70,18.90,1.30,19.50,51.00,78.50,96.60,0.70,33.60,52.30,67.80,100.00,3.40,22.10,44.30,71.80,98.00,11
31.00,43.70,25.40,21.20,17.50,22.20,0.90,24.40,51.20,77.00,99.50,1.90,27.20,47.40,76.50,97.20,0.50,20.20,45.50,67.10,100.00,20
33.00,37.90,29.10,32.20,15.60,23.90,4.40,26.70,49.00,72.30,98.10,0.50,26.20,52.90,76.20,99.50,1.50,18.40,44.20,77.70,100.00,20
37.10,32.00,30.90,22.60,24.30,19.80,0.60,21.90,43.80,73.60,97.20,3.40,25.30,57.30,70.80,100.00,1.70,24.20,52.20,80.90,99.40,20
35.00,33.90,31.10,25.00,26.10,22.20,4.00,27.70,56.50,78.50,99.40,0.60,19.20,40.10,65.50,97.70,1.70,29.90,54.80,74.60,100.00,20
41.30,30.20,28.50,23.00,29.20,21.30,1.10,22.30,41.90,68.70,100.00,0.60,27.90,60.90,82.10,98.90,2.20,22.90,52.50,72.10,98.30,20
28.70,32.70,38.60,19.00,23.00,28.00,3.00,21.80,52.50,77.20,99.00,2.00,20.80,48.50,70.30,100.00,1.00,23.80,40.60,71.30,98.00,20
27.60,39.80,32.70,20.60,21.60,25.80,1.00,15.30,44.90,65.30,99.00,5.10,20.40,50.00,77.60,100.00,3.10,25.50,52.00,70.40,98.00,20
27.50,41.80,30.80,21.10,18.90,31.10,3.30,20.90,47.30,64.80,98.90,1.10,13.20,54.90,75.80,96.70,6.60,27.50,49.50,72.50,100.00,20
33.30,38.40,28.30,27.60,25.50,23.50,2.00,19.20,44.40,74.70,99.00,4.00,20.20,55.60,73.70,94.90,1.00,27.30,49.50,65.70,100.00,20
26.30,40.40,33.30,21.20,15.90,28.30,1.80,16.70,49.10,63.20,86.80,0.90,28.10,50.00,78.90,100.00,2.60,21.10,45.60,81.60,98.20,20
35.90,34.00,30.10,29.40,23.50,19.60,2.90,27.20,46.60,63.10,98.10,1.90,23.30,51.50,78.60,99.00,1.00,20.40,42.70,71.80,100.00,20
33.00,42.90,24.20,37.80,13.30,24.40,1.10,24.20,57.10,82.40,100.00,4.40,22.00,47.30,67.00,96.70,2.20,20.90,42.90,68.10,97.80,20
22.50,51.00,26.50,23.80,12.90,28.70,2.00,14.70,46.10,58.80,100.00,1.00,25.50,44.10,72.50,99.00,2.90,24.50,55.90,81.40,98.00,20
17.60,55.30,27.10,19.00,11.90,34.50,16.50,25.90,58.80,80.00,95.30,1.20,18.80,44.70,71.80,97.60,5.90,21.20,47.10,70.60,100.00,20
33.30,35.50,31.10,21.60,24.20,23.30,1.30,22.40,43.40,75.00,99.10,0.40,25.00,51.30,69.70,100.00,2.60,24.10,54.80,75.90,99.60,20
29.00,43.00,28.00,22.20,18.20,28.30,2.00,17.00,40.00,68.00,99.00,3.00,29.00,52.00,74.00,95.00,1.00,25.00,47.00,76.00,100.00,20
28.40,45.90,25.70,25.90,21.30,15.70,4.60,25.70,45.00,74.30,100.00,0.90,22.00,49.50,67.90,99.10,7.30,27.50,42.20,79.80,98.20,20
32.70,34.70,32.70,20.00,25.00,21.00,2.00,23.80,45.50,77.20,100.00,1.00,18.80,42.60,61.40,91.10,3.00,22.80,53.50,76.20,99.00,20
15.20,58.00,26.80,18.90,11.70,35.10,12.50,35.70,54.50,70.50,95.50,0.90,20.50,45.50,72.30,100.00,3.60,26.80,48.20,74.10,99.10,20
28.70,44.70,26.70,28.90,11.40,28.20,1.30,21.30,49.30,74.70,93.30,2.00,28.00,50.00,76.00,100.00,0.70,18.00,37.30,68.70,97.30,20
18.70,57.10,24.20,23.30,12.20,28.90,4.40,30.80,46.20,80.20,98.90,1.10,25.30,51.60,74.70,97.80,3.30,15.40,44.00,67.00,100.00,20
34.80,39.30,25.80,28.40,21.60,22.70,2.20,25.80,53.90,71.90,95.50,3.40,22.50,50.60,78.70,100.00,1.10,20.20,34.80,65.20,97.80,20
28.00,46.00,26.00,22.20,17.20,24.20,3.00,20.00,32.00,62.00,100.00,6.00,33.00,54.00,81.00,99.00,1.00,16.00,46.00,69.00,97.00,20
32.20,37.80,30.00,19.10,19.10,28.10,1.10,14.40,42.20,63.30,100.00,2.20,22.20,51.10,67.80,93.30,4.40,25.60,60.00,76.70,98.90,20
34.90,32.10,33.00,23.80,29.50,22.90,1.90,30.20,49.10,74.50,99.10,0.90,17.00,50.90,73.60,98.10,4.70,17.90,43.40,67.90,100.00,20
32.70,40.80,26.50,27.80,26.80,18.60,2.00,25.50,52.00,67.30,100.00,1.00,24.50,50.00,78.60,98.00,4.10,20.40,46.90,65.30,99.00,20
36.10,35.30,28.60,21.20,21.20,22.90,4.20,21.80,47.90,74.80,97.50,0.80,25.20,51.30,70.60,100.00,1.70,24.40,49.60,73.90,95.80,20
34.10,31.90,34.10,19.40,28.40,22.40,4.40,20.00,48.90,75.60,98.50,0.70,25.90,48.10,71.90,100.00,3.00,22.20,49.60,72.60,97.80,20
34.30,35.40,30.30,24.50,28.60,24.50,2.00,19.20,44.40,74.70,99.00,4.00,18.20,52.50,72.70,94.90,1.00,27.30,51.50,70.70,100.00,20
22.00,47.70,30.40,22.50,12.70,33.30,1.40,25.20,40.70,72.40,100.00,0.50,26.20,55.10,75.20,99.50,0.90,22.00,49.50,71.00,98.60,20
28.30,40.40,31.30,22.40,15.30,28.60,2.00,30.30,51.50,68.70,100.00,6.10,23.20,52.50,80.80,98.00,1.00,15.20,40.40,70.70,99.00,23
32.50,35.00,32.50,22.10,22.10,22.10,0.80,30.10,54.50,81.30,100.00,3.30,22.80,43.10,65.90,97.60,2.40,18.70,52.80,72.40,99.20,23
25.70,44.80,29.50,24.00,14.40,27.90,1.00,22.90,44.80,70.50,100.00,2.90,18.10,50.50,77.10,95.20,4.80,23.80,48.60,68.60,99.00,23
29.50,41.90,28.70,28.10,18.00,27.30,1.60,14.70,41.10,59.70,100.00,0.80,32.60,58.10,79.80,99.20,2.30,22.50,45.70,75.20,98.40,23
27.90,40.70,31.40,25.90,21.20,21.20,4.70,17.40,41.90,68.60,97.70,2.30,27.90,52.30,73.30,98.80,1.20,23.30,39.50,79.10,100.00,23
26.40,42.60,31.00,22.70,17.20,25.00,1.60,16.30,39.50,71.30,100.00,0.80,29.50,55.80,77.50,97.70,2.30,19.40,45.00,69.80,93.80,23
27.30,45.50,27.30,29.30,16.30,25.00,2.40,22.00,47.40,69.90,100.00,0.50,30.10,55.50,77.50,99.50,1.00,19.60,42.60,65.10,98.10,23
29.00,38.30,32.70,20.20,19.20,26.80,1.90,24.30,43.90,64.50,99.50,0.50,25.70,53.30,77.60,100.00,1.40,21.50,50.90,73.80,97.20,23
27.70,39.60,32.70,18.40,19.60,25.90,0.60,24.50,45.30,70.40,100.00,1.90,30.80,58.50,75.50,96.90,1.30,22.60,46.50,78.00,97.50,23
29.40,41.90,28.70,23.30,19.80,23.10,0.20,30.10,50.10,76.70,98.80,0.90,23.50,49.20,72.70,100.00,0.50,19.80,49.40,74.80,99.50,26
23.40,41.70,34.90,20.70,19.00,25.30,1.70,28.60,49.10,76.60,100.00,2.30,21.70,44.00,66.30,98.90,0.60,26.90,51.40,81.10,99.40,26
31.00,37.50,31.50,22.40,22.40,21.30,1.60,22.80,44.00,64.70,99.50,0.50,23.40,52.70,81.00,100.00,1.10,29.30,51.10,73.40,97.80,26
21.10,46.20,32.70,19.70,16.70,33.30,2.00,37.70,57.30,71.90,99.50,0.50,28.10,49.20,74.90,98.50,1.50,16.60,42.20,69.30,100.00,26
22.90,44.70,32.40,18.40,15.90,30.70,2.80,25.00,40.80,61.60,100.00,0.40,24.60,53.50,75.40,98.60,0.70,23.20,53.20,78.50,99.60,26
23.70,44.50,31.80,20.90,17.50,31.20,0.60,18.10,48.00,75.10,100.00,0.30,26.20,50.20,74.50,99.40,1.90,25.90,50.50,73.50,98.80,26
28.00,46.20,25.80,25.40,17.80,21.10,3.20,20.40,45.70,76.30,97.80,0.50,30.60,54.80,74.20,100.00,5.90,26.90,43.00,73.70,98.90,26
24.90,43.40,31.70,22.10,16.70,27.00,2.40,24.40,49.80,75.10,100.00,1.50,16.10,41.50,72.20,99.00,0.50,30.20,53.70,73.20,98.00,26
30.50,41.40,28.10,24.70,20.30,22.10,1.80,23.70,52.40,78.50,99.60,0.20,28.80,51.30,71.00,100.00,0.40,18.80,43.20,77.40,99.80,26
29.70,44.00,26.40,28.70,16.90,22.10,3.70,27.80,48.70,78.80,99.30,0.40,21.20,51.30,72.50,100.00,0.70,23.10,47.60,73.60,98.90,26
23.50,43.50,32.90,22.40,15.70,29.10,1.60,17.60,41.60,65.50,100.00,0.40,23.90,50.20,76.90,99.60,2.40,31.00,52.90,77.30,99.20,26
23.70,44.90,31.40,19.10,14.50,26.40,5.10,23.70,37.70,72.90,100.00,0.40,22.90,51.30,74.60,99.60,0.80,28.80,51.70,78.80,99.20,26
25.70,45.50,28.70,24.00,14.20,25.50,1.10,20.10,39.90,75.70,99.30,0.40,23.90,51.50,71.60,100.00,0.70,26.50,52.60,77.60,99.60,26
27.30,43.80,28.90,21.00,19.40,25.00,0.40,21.70,45.40,65.90,100.00,1.60,22.10,47.40,78.30,99.20,1.20,30.90,52.20,76.70,98.80,26
19.00,50.20,30.70,19.10,11.70,34.30,3.50,24.20,44.60,74.00,100.00,0.40,23.80,50.60,73.20,99.60,1.30,25.10,48.90,74.90,98.70,26
26.10,45.70,28.30,22.20,13.30,26.70,6.50,21.70,37.00,50.00,67.40,2.20,13.00,47.80,76.10,100.00,15.20,28.30,60.90,80.40,97.80,26
29.00,42.60,28.40,28.60,15.40,27.40,2.80,21.60,58.00,76.70,100.00,1.10,23.30,47.20,69.30,99.40,0.60,25.60,46.00,76.10,97.70,30
27.60,46.70,25.70,23.90,22.10,18.30,0.50,20.10,48.60,71.00,100.00,0.90,25.70,46.70,75.70,99.50,2.80,23.80,51.40,74.80,97.70,30
33.80,32.30,33.80,22.70,29.50,19.70,5.30,26.30,46.60,73.70,100.00,1.50,21.10,49.60,72.20,98.50,0.80,22.60,44.40,72.90,99.20,30
28.90,37.30,33.80,24.60,17.70,22.20,1.50,26.00,48.50,71.10,97.50,0.50,23.50,49.00,73.00,98.00,2.00,24.00,51.00,77.90,100.00,30
25.60,50.00,24.20,24.50,14.80,23.60,1.60,27.20,50.00,73.00,99.30,0.50,23.00,51.20,76.50,100.00,0.90,24.90,48.20,71.70,98.20,30
23.80,54.10,22.20,31.50,12.00,23.40,2.20,21.60,53.50,73.00,97.80,0.50,25.40,50.30,74.60,98.90,3.20,20.50,41.60,77.80,100.00,30
19.10,46.80,34.00,8.70,21.70,30.40,12.80,14.90,27.70,42.60,93.60,2.10,21.30,57.40,72.30,100.00,10.60,23.40,40.40,76.60,95.70,30
30.50,42.40,27.10,36.20,13.80,25.90,15.30,25.40,42.40,59.30,100.00,3.40,23.70,57.60,79.70,96.60,1.70,8.50,44.10,62.70,98.30,31
42.10,26.30,31.60,17.90,25.00,17.90,1.80,22.80,52.60,73.70,100.00,10.50,17.50,40.40,80.70,91.20,5.30,12.30,49.10,68.40,98.20,31
38.20,39.50,22.40,33.30,12.00,25.30,1.30,18.40,39.50,64.50,100.00,2.60,28.90,55.30,78.90,98.70,10.50,30.30,44.70,65.80,97.40,31
39.40,32.40,28.20,24.30,20.00,17.10,8.50,28.20,50.70,71.80,100.00,1.40,11.30,40.80,67.60,97.20,7.00,18.30,43.70,74.60,95.80,31
36.20,36.20,27.60,29.80,14.00,24.60,5.20,27.60,58.60,74.10,100.00,1.70,19.00,39.70,65.50,93.10,6.90,31.00,44.80,63.80,94.80,31
41.40,27.60,31.00,29.80,22.80,15.80,1.70,24.10,53.40,70.70,100.00,3.40,27.60,48.30,86.20,98.30,6.90,15.50,46.60,65.50,94.80,31
30.40,39.10,30.40,19.10,25.00,22.10,4.30,17.40,42.00,66.70,95.70,1.40,26.10,44.90,73.90,100.00,2.90,24.60,47.80,62.30,98.60,31
43.50,30.60,25.80,24.60,26.20,13.10,6.50,19.40,43.50,79.00,100.00,1.60,14.50,53.20,66.10,82.30,4.80,25.80,40.30,72.60,93.50,31
35.90,35.00,29.10,25.50,20.60,22.50,2.90,22.30,54.40,70.90,100.00,1.00,18.40,43.70,72.80,97.10,4.90,24.30,48.50,74.80,98.10,32
31.90,36.20,31.90,25.00,20.60,26.50,4.30,21.70,39.10,53.60,100.00,1.40,17.40,55.10,73.90,92.80,5.80,31.90,56.50,72.50,98.60,32
24.50,48.20,27.30,26.60,10.10,27.50,3.60,24.50,49.10,73.60,94.50,0.90,17.30,43.60,76.40,98.20,1.80,30.00,57.30,69.10,100.00,32
25.50,37.30,37.30,15.60,22.00,22.00,0.90,32.70,62.70,81.80,98.20,2.70,22.70,39.10,57.30,100.00,1.80,20.90,47.30,72.70,99.10,32
25.50,40.80,33.70,18.60,19.60,28.90,7.10,19.40,38.80,69.40,100.00,2.00,32.70,55.10,77.60,98.00,1.00,25.50,41.80,70.40,99.00,32
39.00,36.80,24.30,34.10,18.50,17.00,0.70,29.40,51.50,74.30,97.80,2.20,26.50,47.10,75.00,100.00,1.50,19.90,44.10,69.10,99.30,32
32.30,44.10,23.70,27.20,17.40,19.60,3.20,19.40,41.90,73.10,100.00,1.10,24.70,53.80,77.40,97.80,6.50,21.50,45.20,60.20,94.60,32
39.40,31.40,29.20,25.70,22.10,18.40,0.70,18.20,38.00,64.20,98.50,2.20,25.50,49.60,81.00,99.30,8.00,32.10,59.90,75.90,100.00,32
35.70,37.10,27.10,27.60,21.90,20.80,1.80,22.50,48.90,71.80,98.90,0.40,30.00,50.00,82.10,97.90,2.50,24.30,49.60,67.90,100.00,32
33.10,36.60,30.30,24.70,23.00,20.70,2.30,24.00,59.40,81.70,100.00,0.60,26.90,44.60,66.90,98.30,1.10,22.90,41.70,70.30,96.60,32
37.30,31.30,31.30,33.30,24.20,19.70,4.50,19.40,50.70,74.60,98.50,6.00,32.80,55.20,80.60,100.00,1.50,13.40,38.80,56.70,94.00,32
28.20,40.00,31.80,19.00,23.80,25.00,2.40,17.60,35.30,58.80,95.30,8.20,22.40,55.30,70.60,100.00,1.20,31.80,51.80,81.20,97.60,32
40.70,30.90,28.40,28.80,23.80,16.20,1.20,19.80,49.40,70.40,100.00,6.20,29.60,45.70,61.70,97.50,4.90,17.30,43.20,79.00,98.80,32
32.30,38.60,29.10,30.20,14.30,23.00,1.60,23.60,52.80,70.90,92.90,0.80,22.00,46.50,72.40,99.20,2.40,25.20,48.80,77.20,100.00,33
38.40,30.10,31.50,24.10,24.80,21.40,0.70,21.20,52.70,70.50,98.60,2.10,28.10,50.00,80.10,99.30,1.40,25.30,46.60,72.60,100.00,33
33.10,33.10,33.80,17.70,24.10,24.10,1.40,15.50,47.90,62.70,100.00,0.70,32.40,55.60,76.10,98.60,2.10,24.60,43.70,78.90,99.30,33
30.30,36.60,33.10,23.60,20.80,19.40,0.70,17.90,44.80,65.50,100.00,2.80,29.70,53.80,77.20,95.90,1.40,22.10,48.30,76.60,99.30,33
30.70,40.00,29.30,25.20,17.30,18.00,2.10,21.40,36.40,70.70,100.00,3.60,25.70,55.70,77.90,99.30,0.70,20.00,44.30,70.00,97.10,33
30.70,37.00,32.30,23.00,14.30,19.80,0.80,26.00,42.50,67.70,95.30,1.60,16.50,45.70,70.90,98.40,3.90,22.80,55.10,77.20,100.00,33
33.70,36.10,30.10,23.00,20.00,23.00,2.40,29.50,59.00,80.10,100.00,3.00,21.10,47.60,70.50,95.80,0.60,23.50,50.00,72.30,97.60,33
22.00,55.90,22.00,26.50,9.40,26.50,2.50,18.60,48.30,72.90,97.50,1.70,22.90,49.20,74.60,94.90,0.80,28.80,51.70,70.30,100.00,33
23.20,54.40,22.40,19.10,13.00,20.60,2.70,18.60,47.10,69.60,99.60,0.40,25.90,54.00,75.70,100.00,0.80,19.00,45.20,69.20,99.20,35
17.10,59.70,23.20,21.10,8.90,28.90,2.80,29.30,43.60,63.50,94.50,1.10,24.90,53.00,77.30,98.90,0.60,18.80,49.20,71.80,100.00,35
21.20,52.00,26.80,26.40,9.10,29.40,1.00,31.30,59.10,78.30,96.00,0.50,23.70,49.00,72.70,100.00,1.50,20.20,42.90,74.20,99.00,35
14.00,53.50,32.60,16.70,9.50,31.00,23.30,23.30,44.20,72.10,100.00,7.00,18.60,46.50,65.10,97.70,2.30,16.30,55.80,69.80,95.30,35
41.70,33.30,25.00,28.60,20.00,20.00,16.70,33.30,58.30,72.20,100.00,2.80,11.10,27.80,66.70,97.20,5.60,25.00,38.90,55.60,91.70,35
28.50,44.40,27.20,30.00,18.70,23.30,0.70,16.60,41.70,72.20,99.30,6.60,31.10,53.60,76.20,98.00,1.30,17.90,38.40,70.90,100.00,35
32.80,35.80,31.30,18.20,19.70,28.80,1.50,20.90,34.30,56.70,92.50,6.00,38.80,62.70,85.10,100.00,4.50,16.40,41.80,64.20,98.50,35
27.00,42.10,30.90,22.50,18.50,22.50,1.30,19.10,40.10,64.50,99.30,0.70,26.30,55.30,77.60,100.00,6.60,24.30,48.70,74.30,97.40,35
32.10,35.80,32.10,23.10,23.10,19.40,3.70,25.70,47.70,76.10,97.20,0.90,24.80,48.60,69.70,100.00,1.80,15.60,46.80,74.30,98.20,35
36.90,32.40,30.70,22.90,23.40,20.00,0.60,21.60,46.00,71.60,99.40,4.00,29.00,52.30,75.00,100.00,2.30,23.90,50.00,71.00,98.90,39
