@relation C-train

@attribute C1 real
@attribute C2 real
@attribute C3 real
@attribute C4 real
@attribute C5 real
@attribute C6 real
@attribute C7 real
@attribute C8 real
@attribute C9 real
@attribute C10 real
@attribute C11 real
@attribute C12 real
@attribute C13 real
@attribute C14 real      
@attribute C15 real      
@attribute C16 real
@attribute C17 real
@attribute C18 real
@attribute C19 real
@attribute C20 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data     
18.00,1.70,7.60,2.90,2.30,8.10,0.00,5.20,3.50,8.70,3.50,4.10,1.70,2.90,5.80,8.10,4.70,7.60,0.00,3.50,1
8.10,1.80,3.60,5.40,3.60,9.90,1.80,3.60,11.70,7.20,1.80,5.40,8.10,3.60,1.80,6.30,7.20,2.70,0.90,5.40,3
12.90,1.60,6.50,6.50,4.00,12.10,2.40,2.40,10.50,4.00,1.60,3.20,3.20,6.50,2.40,0.80,7.30,6.50,1.60,4.00,3
15.90,2.40,6.10,6.10,2.40,8.50,1.20,3.70,9.80,4.90,2.40,3.70,7.30,6.10,1.20,3.70,2.40,8.50,2.40,1.20,3
7.50,1.40,7.50,9.50,4.80,12.20,2.70,2.70,2.70,8.20,4.10,4.10,6.80,2.70,2.00,3.40,7.50,2.70,2.70,4.80,3
13.90,2.50,7.60,5.10,1.30,13.90,2.50,0.00,15.20,6.30,6.30,1.30,0.00,2.50,1.30,6.30,1.30,6.30,0.00,6.30,3
10.00,2.50,2.50,7.50,5.00,11.20,2.50,5.00,5.00,1.20,7.50,3.80,6.20,5.00,1.20,7.50,7.50,5.00,0.00,3.80,3
13.80,2.10,8.50,9.60,4.30,6.40,3.20,1.10,9.60,10.60,3.20,0.00,3.20,5.30,4.30,4.30,3.20,1.10,1.10,5.30,3
7.40,0.00,0.00,11.10,5.60,1.90,0.00,5.60,7.40,11.10,0.00,7.40,1.90,9.30,16.70,7.40,3.70,0.00,1.90,1.90,4
7.80,2.60,0.00,13.00,5.20,5.20,1.30,2.60,5.20,5.20,0.00,6.50,3.90,9.10,11.70,6.50,2.60,6.50,2.60,2.60,4
1.70,0.00,1.70,8.50,3.40,3.40,1.70,6.80,11.90,8.50,1.70,11.90,1.70,1.70,11.90,6.80,6.80,3.40,3.40,3.40,4
4.90,1.60,0.00,13.10,4.90,0.00,1.60,8.20,11.50,8.20,1.60,6.60,3.30,4.90,13.10,4.90,4.90,4.90,1.60,0.00,4
6.00,0.00,0.00,6.00,4.00,6.00,4.00,12.00,8.00,8.00,2.00,4.00,6.00,8.00,10.00,8.00,2.00,2.00,0.00,4.00,4
7.00,0.00,4.70,2.30,0.00,7.00,2.30,9.30,9.30,4.70,4.70,9.30,0.00,4.70,9.30,9.30,4.70,7.00,2.30,2.30,4
1.80,1.80,1.80,7.30,0.00,7.30,5.50,7.30,16.40,7.30,1.80,3.60,5.50,5.50,9.10,1.80,1.80,7.30,5.50,1.80,4
8.00,0.00,4.00,8.00,0.00,4.00,4.00,8.00,10.00,6.00,2.00,8.00,2.00,2.00,12.00,4.00,8.00,2.00,6.00,2.00,4
12.50,0.00,2.80,9.70,2.80,6.90,2.80,8.30,4.20,9.70,2.80,1.40,4.20,6.90,11.10,5.60,4.20,4.20,0.00,0.00,4
5.90,1.50,5.90,4.40,0.00,8.80,2.90,11.80,5.90,8.80,4.40,2.90,2.90,8.80,5.90,2.90,8.80,7.40,0.00,0.00,4
12.20,0.00,1.40,2.70,1.40,9.50,4.10,8.10,10.80,8.10,1.40,1.40,1.40,5.40,8.10,13.50,2.70,4.10,0.00,4.10,4
5.70,0.90,7.50,2.80,9.40,5.70,2.80,6.60,7.50,10.40,1.90,7.50,3.80,5.70,6.60,5.70,2.80,2.80,1.90,1.90,4
10.40,0.70,4.90,11.80,0.70,4.90,0.70,0.00,4.90,16.70,2.80,0.00,0.70,9.70,11.10,4.90,4.20,6.20,2.10,2.80,7
15.10,0.00,4.10,4.80,3.40,3.40,0.70,2.10,2.70,10.30,6.20,8.90,2.10,11.60,4.80,6.80,6.20,2.10,0.70,4.10,7
16.00,0.00,11.30,7.50,1.90,2.80,1.90,2.80,12.30,9.40,2.80,5.70,3.80,5.70,3.80,1.90,4.70,3.80,0.00,1.90,7
22.00,1.60,3.90,7.90,3.10,7.90,0.80,1.60,11.80,9.40,2.40,1.60,5.50,5.50,1.60,3.90,4.70,2.40,2.40,0.00,7
6.20,1.80,10.60,3.50,6.20,5.30,6.20,7.10,8.00,8.80,0.90,5.30,2.70,4.40,3.50,2.70,6.20,2.70,2.70,5.30,7
8.40,0.60,5.20,4.50,5.20,3.20,0.00,5.80,1.30,7.80,0.00,6.50,4.50,5.80,7.10,10.40,9.70,9.10,1.90,2.60,7
16.90,0.00,4.50,5.80,3.90,8.40,1.30,7.80,6.50,7.10,2.60,2.60,1.90,5.20,7.10,2.60,5.20,3.90,0.60,5.80,7
11.30,3.10,3.10,4.40,4.40,6.30,3.10,2.50,1.30,19.50,3.10,1.30,6.30,10.10,3.80,6.30,5.70,2.50,0.60,1.30,9
7.60,3.50,3.50,2.90,3.50,5.20,2.90,3.50,6.40,11.00,2.30,8.70,5.20,5.80,4.10,5.20,5.80,9.30,0.00,3.50,9
4.80,2.40,4.20,7.80,4.80,3.60,0.60,4.20,4.20,15.10,1.20,5.40,4.80,6.00,4.80,10.20,4.80,4.20,2.40,4.20,9
5.00,3.40,3.40,10.10,4.20,2.50,2.50,4.20,5.00,11.80,3.40,3.40,7.60,5.90,4.20,7.60,9.20,3.40,1.70,1.70,9
6.20,4.70,3.10,7.80,4.70,2.30,3.90,4.70,9.30,12.40,0.80,4.70,0.80,5.40,7.00,6.20,11.60,2.30,0.80,1.60,9
3.50,4.90,7.00,8.40,6.30,1.40,2.10,4.90,7.70,11.20,2.80,6.30,2.10,7.00,3.50,7.00,5.60,4.90,0.70,2.80,9
5.30,2.60,5.30,7.90,6.60,3.30,2.00,4.60,8.60,12.60,4.60,7.90,3.30,5.30,6.00,4.60,2.60,3.30,0.00,3.30,9
3.80,0.60,1.30,8.80,5.70,1.30,1.30,5.00,6.90,12.60,4.40,6.90,0.60,8.20,8.20,4.40,6.90,5.70,2.50,5.00,9
2.50,0.00,8.40,7.60,8.40,3.40,0.00,10.90,12.60,8.40,2.50,6.70,2.50,9.20,2.50,7.60,0.00,4.20,0.80,1.70,9
2.60,0.00,5.30,17.10,6.60,6.60,0.00,2.60,13.20,15.80,1.30,2.60,5.30,5.30,0.00,7.90,2.60,3.90,0.00,1.30,11
10.10,0.00,12.80,7.30,7.30,8.30,1.80,5.50,14.70,8.30,2.80,0.00,0.00,0.90,0.90,10.10,4.60,4.60,0.00,0.00,11
11.80,0.00,8.80,17.60,5.90,8.80,0.00,11.80,5.90,8.80,0.00,5.90,0.00,0.00,5.90,2.90,2.90,0.00,0.00,2.90,11
4.90,0.50,4.90,13.00,7.60,4.30,1.60,6.50,11.90,9.20,1.10,3.20,3.80,4.30,2.70,5.90,7.00,3.20,1.60,2.70,11
7.50,0.00,10.30,7.50,8.60,7.50,0.60,4.60,6.90,6.90,5.70,6.30,2.90,0.60,2.90,6.30,5.70,6.30,1.70,1.10,11
6.50,2.20,11.90,5.40,5.90,5.90,0.50,3.80,8.10,8.10,3.80,5.90,2.70,4.90,3.20,4.90,4.30,5.40,2.20,4.30,11
6.00,2.00,12.80,11.40,8.10,10.10,1.30,3.40,6.00,9.40,2.70,2.00,2.70,2.70,4.00,2.70,3.40,6.70,0.70,2.00,11
4.20,2.30,5.60,4.20,4.20,6.60,0.90,6.10,5.20,6.60,0.90,6.10,4.20,5.60,4.20,15.00,8.90,3.80,1.40,3.80,20
2.90,1.90,4.40,5.80,3.40,3.40,2.90,1.90,8.70,7.30,1.50,5.30,8.30,5.80,2.90,9.20,6.80,11.20,1.90,4.40,20
2.20,2.20,5.60,5.10,2.80,7.30,1.10,5.60,10.10,11.80,0.00,5.10,3.40,8.40,2.80,10.10,7.30,6.70,1.70,0.60,20
4.50,1.10,1.70,9.60,2.80,5.10,0.00,4.00,7.30,11.30,2.30,4.00,5.10,9.60,2.80,11.30,6.80,7.90,1.70,1.10,20
2.80,2.20,8.40,6.70,3.40,3.90,1.70,7.30,16.20,7.80,1.10,4.50,2.80,3.90,1.70,7.30,9.50,4.50,2.20,2.20,20
1.00,2.00,5.90,8.90,6.90,3.00,4.00,3.00,4.00,10.90,0.00,5.00,10.90,0.00,5.00,3.00,8.90,12.90,3.00,2.00,20
2.00,2.00,1.00,8.20,3.10,7.10,3.10,2.00,3.10,7.10,1.00,3.10,7.10,6.10,6.10,8.20,9.20,14.30,3.10,3.10,20
5.50,2.20,4.40,7.70,2.20,6.60,5.50,2.20,4.40,11.00,1.10,1.10,7.70,5.50,4.40,3.30,8.80,7.70,4.40,4.40,20
3.00,2.00,6.10,6.10,4.00,2.00,5.10,7.10,9.10,3.00,5.10,4.00,9.10,5.10,3.00,6.10,8.10,5.10,2.00,5.10,20
6.10,2.60,3.50,4.40,8.80,6.10,0.90,0.90,3.50,13.20,0.90,4.40,6.10,4.40,6.10,11.40,6.10,5.30,1.80,3.50,20
6.80,4.90,10.70,11.70,3.90,4.90,1.90,2.90,7.80,4.90,2.90,2.90,4.90,1.00,1.90,4.90,6.80,9.70,1.00,3.90,20
4.40,1.10,3.30,9.90,3.30,5.50,1.10,3.30,6.60,4.40,1.10,2.20,3.30,5.50,5.50,12.10,13.20,9.90,1.10,3.30,20
5.90,0.00,2.90,0.00,2.00,8.80,1.00,6.90,2.90,5.90,2.00,5.90,4.90,3.90,6.90,13.70,13.70,8.80,1.00,2.90,20
10.60,0.00,2.40,1.20,3.50,14.10,1.20,7.10,4.70,1.20,1.20,7.10,4.70,1.20,1.20,5.90,15.30,12.90,1.20,3.50,20
5.30,1.80,10.10,5.30,5.30,3.50,7.00,4.40,7.90,8.30,2.20,4.40,5.30,2.20,3.50,5.70,4.80,8.30,0.90,3.90,20
8.00,1.00,5.00,6.00,6.00,6.00,1.00,9.00,8.00,2.00,1.00,7.00,2.00,1.00,2.00,9.00,11.00,9.00,0.00,6.00,20
15.60,1.80,5.50,2.80,1.80,10.10,0.00,3.70,7.30,4.60,0.90,9.20,2.80,2.80,0.90,6.40,9.20,9.20,3.70,1.80,20
4.00,0.00,6.90,4.00,3.00,6.90,2.00,12.90,2.00,7.90,0.00,7.90,10.90,4.00,7.90,6.90,3.00,7.90,1.00,1.00,20
14.30,3.60,4.50,1.80,1.80,14.30,1.80,2.70,2.70,3.60,0.00,1.80,4.50,4.50,0.00,8.00,14.30,14.30,0.90,0.90,20
7.30,2.00,7.30,5.30,3.30,18.00,5.30,4.70,6.00,6.00,0.70,6.00,2.70,2.00,2.00,6.00,4.70,10.00,0.00,0.70,20
7.70,0.00,3.30,4.40,1.10,9.90,0.00,7.70,3.30,4.40,0.00,2.20,7.70,1.10,4.40,12.10,13.20,9.90,1.10,6.60,20
4.50,0.00,11.20,9.00,2.20,5.60,0.00,9.00,5.60,7.90,1.10,3.40,5.60,2.20,3.40,6.70,13.50,4.50,1.10,3.40,20
10.00,2.00,6.00,3.00,5.00,3.00,3.00,7.00,4.00,2.00,1.00,6.00,8.00,7.00,2.00,10.00,9.00,6.00,3.00,3.00,20
1.10,6.70,4.40,10.00,6.70,4.40,3.30,5.60,5.60,2.20,0.00,4.40,5.60,3.30,4.40,10.00,8.90,5.60,3.30,4.40,20
3.80,0.00,4.70,8.50,0.90,3.80,0.90,4.70,6.60,9.40,3.80,5.70,6.60,4.70,4.70,5.70,5.70,10.40,3.80,5.70,20
4.10,2.00,5.10,9.20,4.10,2.00,0.00,3.10,8.20,6.10,0.00,6.10,6.10,3.10,1.00,7.10,14.30,8.20,3.10,7.10,20
8.40,0.00,5.90,5.90,3.40,2.50,0.00,7.60,6.70,10.10,1.70,5.00,8.40,5.90,6.70,7.60,5.90,5.00,0.80,2.50,20
3.70,0.00,8.10,5.90,7.40,8.10,2.20,3.70,9.60,10.40,3.00,3.70,4.40,4.40,2.20,4.40,5.20,8.90,0.70,3.70,20
2.00,2.00,5.10,7.10,5.10,2.00,4.00,7.10,9.10,6.10,2.00,5.10,9.10,5.10,3.00,6.10,8.10,6.10,2.00,4.00,20
6.50,1.90,3.70,1.90,3.70,8.90,1.40,2.30,5.10,7.50,1.40,3.70,5.60,3.30,4.20,12.10,7.90,11.20,2.30,5.10,20
7.10,1.00,7.10,8.10,7.10,10.10,2.00,6.10,6.10,6.10,2.00,6.10,5.10,1.00,0.00,12.10,2.00,9.10,0.00,2.00,23
8.10,0.80,8.10,4.10,4.10,9.80,2.40,2.40,10.60,7.30,5.70,3.30,5.70,4.10,2.40,2.40,4.10,12.20,0.00,2.40,23
12.40,1.00,4.80,8.60,3.80,6.70,4.80,3.80,7.60,3.80,4.80,1.90,6.70,1.00,1.90,2.90,7.60,11.40,1.00,3.80,23
10.90,2.30,7.00,5.40,3.10,9.30,3.90,2.30,10.10,5.40,5.40,3.10,1.60,3.10,0.80,6.20,7.00,8.50,1.60,3.10,23
5.80,3.50,2.30,1.20,7.00,10.50,2.30,4.70,7.00,4.70,2.30,9.30,5.80,4.70,3.50,5.80,7.00,7.00,2.30,3.50,23
5.40,1.60,3.10,5.40,5.40,11.60,4.70,7.00,3.10,4.70,2.30,7.00,6.20,4.70,3.10,4.70,6.20,7.00,3.10,3.90,23
6.20,1.40,5.30,3.80,3.30,5.70,2.90,6.70,4.80,8.60,0.50,5.70,8.60,3.80,3.80,10.00,6.70,4.30,2.40,5.30,23
6.10,0.90,4.20,5.60,5.10,7.90,4.20,5.60,5.60,7.90,2.30,8.90,9.30,1.90,2.80,2.80,4.70,8.40,2.30,3.30,23
6.30,0.60,5.70,6.90,3.80,8.80,5.00,4.40,5.70,8.20,3.80,4.40,7.50,1.30,3.80,1.90,8.80,11.30,0.60,1.30,23
6.10,0.70,6.60,3.50,5.20,6.60,3.10,5.40,3.50,8.20,2.60,4.70,6.60,5.20,5.90,6.40,8.00,5.20,1.40,5.20,26
6.90,2.90,5.70,1.10,6.90,5.70,1.70,4.00,4.00,8.00,1.70,6.30,5.70,3.40,2.90,9.10,9.10,10.90,0.60,3.40,26
7.10,0.50,4.90,2.20,3.80,7.60,2.20,8.20,3.30,8.20,2.70,9.20,2.20,5.40,6.00,6.50,9.80,7.10,1.10,2.20,26
9.50,2.00,3.00,4.00,2.00,6.50,1.00,5.50,3.00,8.50,2.50,5.50,4.50,2.00,3.50,8.00,12.10,10.10,2.00,4.50,26
9.20,1.40,5.60,2.50,4.20,9.50,0.70,2.80,2.10,12.70,0.40,6.00,4.20,2.50,4.20,7.40,10.60,10.20,0.70,3.20,26
11.20,1.60,4.40,2.80,6.50,6.90,0.60,4.70,2.50,6.20,1.60,6.50,8.70,4.40,3.10,7.50,7.80,10.00,1.20,1.90,26
9.10,1.10,3.80,5.40,2.20,4.80,3.80,4.30,4.30,9.10,1.60,4.30,7.50,3.80,6.50,3.80,12.40,7.00,0.50,4.80,26
5.90,1.50,3.40,4.90,4.90,7.30,3.90,2.90,3.40,7.30,2.00,5.40,5.40,3.90,3.90,5.40,11.20,11.70,1.50,4.40,26
6.00,0.70,5.10,4.20,5.10,7.10,2.00,4.70,3.60,6.20,2.20,8.90,7.50,4.70,3.80,4.90,9.90,6.60,2.60,4.00,26
7.70,1.10,5.50,5.10,3.70,4.80,3.70,5.10,6.20,5.50,1.80,5.50,5.90,2.60,4.80,8.40,8.10,7.70,1.50,5.50,26
5.10,2.40,4.30,3.10,3.50,7.50,3.10,6.30,3.90,7.50,2.40,6.30,6.70,3.10,2.70,8.20,9.80,9.40,1.60,3.10,26
4.20,0.80,4.70,3.40,3.80,7.20,2.10,6.40,2.50,11.40,2.10,3.80,7.60,5.50,3.80,7.20,12.30,5.10,1.70,4.20,26
5.60,1.90,4.90,4.50,7.50,7.50,1.50,2.60,4.90,6.70,0.70,4.90,9.70,3.40,3.40,8.20,9.00,7.80,1.50,4.10,26
6.80,0.80,4.80,3.60,4.00,6.00,3.60,2.80,2.40,8.00,1.20,5.60,5.60,5.20,5.60,7.20,10.80,9.20,2.80,3.60,26
9.50,1.30,3.00,1.70,4.80,6.10,0.90,5.60,4.30,6.50,3.00,3.90,10.00,3.90,2.20,7.80,10.80,7.40,2.20,5.20,26
8.70,0.00,4.30,0.00,6.50,10.90,0.00,4.30,2.20,10.90,4.30,10.90,0.00,8.70,0.00,15.20,4.30,0.00,2.20,6.50,26
7.40,0.00,6.20,2.30,7.40,6.80,1.10,5.70,6.20,4.50,0.00,8.50,4.00,3.40,2.30,7.40,11.90,9.10,1.70,4.00,30
5.60,0.90,5.60,3.70,6.10,12.10,1.90,3.70,6.50,4.70,1.40,8.90,3.30,1.90,0.90,7.00,8.90,5.10,3.70,7.90,30
9.00,4.50,6.00,6.00,7.50,8.30,1.50,3.80,6.00,10.50,0.00,9.80,4.50,2.30,3.80,5.30,2.30,6.80,0.80,1.50,30
3.90,1.00,4.40,6.40,4.90,7.40,2.00,6.40,5.40,9.80,0.50,3.90,5.90,4.40,4.40,8.30,3.90,8.80,2.50,5.90,30
6.20,4.60,5.50,4.40,3.50,11.80,0.90,2.30,3.00,5.50,1.40,6.90,4.40,4.10,1.60,11.50,10.60,4.80,2.10,4.60,30
4.90,0.00,3.80,1.10,2.20,13.50,1.10,3.20,2.70,2.20,1.10,9.70,3.20,2.70,3.80,9.70,13.50,7.60,5.90,8.10,30
10.60,0.00,0.00,12.80,8.50,6.40,4.30,2.10,2.10,8.50,0.00,2.10,4.30,0.00,2.10,8.50,8.50,10.60,4.30,4.30,30
6.80,0.00,8.50,10.20,5.10,6.80,1.70,3.40,3.40,8.50,0.00,3.40,3.40,1.70,3.40,8.50,8.50,6.80,3.40,6.80,31
5.30,0.00,8.80,7.00,1.80,3.50,0.00,1.80,14.00,12.30,1.80,5.30,3.50,3.50,3.50,3.50,5.30,10.50,3.50,5.30,31
3.90,0.00,7.90,13.20,2.60,14.50,1.30,5.30,3.90,9.20,0.00,3.90,2.60,2.60,6.60,2.60,5.30,3.90,1.30,9.20,31
5.60,1.40,5.60,9.90,5.60,9.90,1.40,5.60,9.90,4.20,1.40,4.20,4.20,5.60,4.20,4.20,2.80,5.60,4.20,4.20,31
8.60,3.40,5.20,5.20,3.40,8.60,1.70,6.90,12.10,3.40,0.00,6.90,5.20,3.40,3.40,0.00,6.90,8.60,1.70,5.20,31
3.40,1.70,6.90,6.90,8.60,6.90,0.00,5.20,5.20,6.90,0.00,12.10,6.90,5.20,5.20,3.40,3.40,5.20,3.40,3.40,31
5.80,0.00,2.90,7.20,4.30,13.00,1.40,8.70,7.20,4.30,0.00,8.70,1.40,0.00,4.30,8.70,2.90,11.60,1.40,5.80,31
4.80,0.00,4.80,9.70,3.20,11.30,0.00,4.80,21.00,4.80,3.20,0.00,1.60,4.80,3.20,4.80,4.80,8.10,1.60,3.20,31
4.90,1.90,3.90,7.80,1.90,2.90,1.00,11.70,9.70,4.90,3.90,5.80,2.90,4.90,3.90,7.80,11.70,3.90,1.00,3.90,32
2.90,2.90,7.20,4.30,5.80,8.70,1.40,4.30,7.20,7.20,1.40,7.20,1.40,2.90,2.90,4.30,14.50,8.70,1.40,2.90,32
11.80,3.60,5.50,3.60,1.80,5.50,1.80,4.50,2.70,8.20,2.70,1.80,2.70,3.60,7.30,8.20,7.30,6.40,0.00,10.90,32
8.20,3.60,3.60,4.50,4.50,6.40,0.90,1.80,7.30,9.10,7.30,0.90,10.00,3.60,5.50,5.50,4.50,10.90,0.00,1.80,32
8.20,4.10,5.10,6.10,5.10,7.10,3.10,3.10,5.10,15.30,2.00,3.10,5.10,3.10,3.10,6.10,7.10,3.10,1.00,4.10,32
8.80,0.00,4.40,8.10,2.20,7.40,2.90,3.70,15.40,8.10,2.90,3.70,4.40,3.70,3.70,2.20,5.90,6.60,0.70,5.10,32
1.10,0.00,7.50,4.30,4.30,6.50,2.20,7.50,8.60,6.50,1.10,7.50,3.20,2.20,2.20,15.10,11.80,3.20,1.10,4.30,32
7.30,0.00,6.60,6.60,2.20,5.10,1.50,7.30,10.20,10.20,0.70,4.40,2.20,5.80,5.80,6.60,7.30,8.00,0.70,1.50,32
7.90,0.40,8.20,6.80,3.90,5.40,2.10,9.30,10.00,6.10,0.70,6.10,7.10,2.50,2.10,3.90,6.80,4.60,2.10,3.90,32
9.10,1.10,8.00,8.60,3.40,5.10,2.90,5.10,9.10,8.60,1.70,4.00,7.40,1.10,2.30,4.60,2.90,9.10,1.10,4.60,32
7.50,0.00,3.00,14.90,10.40,13.40,1.50,4.50,7.50,3.00,1.50,4.50,1.50,6.00,1.50,4.50,3.00,10.40,1.50,0.00,32
4.70,1.20,3.50,4.70,3.50,8.20,1.20,4.70,5.90,11.80,1.20,2.40,7.10,7.10,4.70,8.20,4.70,9.40,0.00,5.90,32
4.90,0.00,4.90,7.40,1.20,3.70,3.70,4.90,17.30,4.90,2.50,1.20,2.50,1.20,8.60,3.70,6.20,14.80,0.00,6.20,32
3.90,1.60,4.70,7.10,4.70,10.20,3.10,4.70,7.90,13.40,0.80,3.90,4.70,4.70,3.90,5.50,6.30,3.10,0.80,4.70,33
2.70,0.70,4.80,7.50,5.50,4.80,2.10,4.80,10.30,9.60,2.70,6.20,5.50,7.50,2.10,8.90,2.70,7.50,0.70,3.40,33
6.30,2.80,5.60,6.30,6.30,6.30,1.40,4.20,5.60,8.50,3.50,5.60,4.90,5.60,4.20,6.30,5.60,7.00,1.40,2.10,33
9.00,0.70,4.80,5.50,5.50,3.40,2.10,9.00,6.90,9.70,2.10,6.20,4.10,4.80,2.10,4.80,8.30,4.80,1.40,4.80,33
4.30,3.60,5.00,5.70,0.00,9.30,0.70,7.10,5.70,5.70,3.60,6.40,2.10,2.10,5.70,8.60,8.60,5.70,3.60,6.40,33
3.10,3.10,7.90,0.80,2.40,7.10,0.80,5.50,6.30,7.90,3.90,7.10,3.10,7.10,1.60,12.60,6.30,4.70,4.70,3.90,33
4.20,2.40,6.60,7.80,3.00,8.40,1.20,3.60,7.20,9.60,0.00,2.40,6.00,5.40,4.20,6.60,4.80,9.60,1.80,4.80,33
4.20,0.80,5.10,5.90,4.20,11.00,26.30,5.10,7.60,5.90,0.80,1.70,0.00,0.80,0.80,6.80,5.10,5.10,0.00,2.50,33
10.60,2.30,4.90,1.90,2.70,12.50,2.30,3.40,1.90,4.90,1.10,6.50,4.90,3.40,4.60,12.20,8.70,5.30,2.70,3.00,35
10.50,2.20,2.20,1.10,2.80,17.70,1.70,5.00,0.00,5.50,0.60,6.60,2.20,3.30,3.90,11.60,11.60,6.60,0.60,4.40,35
12.10,3.00,1.00,2.00,3.00,16.20,0.50,4.00,1.00,5.10,1.00,6.60,2.00,4.50,6.10,10.10,9.10,9.60,1.00,2.00,35
9.30,7.00,0.00,0.00,2.30,11.60,4.70,7.00,2.30,4.70,0.00,7.00,2.30,4.70,0.00,16.30,2.30,9.30,2.30,7.00,35
2.80,2.80,8.30,16.70,5.60,11.10,0.00,2.80,8.30,13.90,0.00,0.00,2.80,0.00,8.30,8.30,5.60,0.00,0.00,2.80,35
6.00,0.00,5.30,6.60,4.00,12.60,4.00,4.00,6.60,5.30,3.30,3.30,4.60,1.30,5.30,6.60,7.90,8.60,2.00,2.60,35
7.50,1.50,6.00,6.00,1.50,6.00,3.00,7.50,9.00,10.40,3.00,3.00,6.00,1.50,7.50,4.50,3.00,4.50,3.00,6.00,35
5.30,4.60,9.20,5.90,2.60,9.90,2.00,5.90,4.60,9.90,2.60,2.60,7.90,3.90,0.70,6.60,7.90,2.60,2.60,2.60,35
3.70,3.70,5.50,4.60,3.70,11.90,0.90,4.60,7.30,4.60,2.80,3.70,5.50,3.70,7.30,6.40,2.80,10.10,2.80,4.60,35
8.00,3.40,9.10,5.70,6.80,6.20,1.10,2.80,5.70,6.20,2.30,5.10,2.80,4.50,6.80,5.70,4.50,6.80,2.30,4.00,39
4.60,2.30,5.80,6.90,2.90,8.70,3.50,4.00,11.60,3.50,0.00,6.40,3.50,1.20,0.60,6.90,4.00,11.60,2.90,9.20,39
9.10,1.20,6.70,7.90,4.30,6.10,3.00,4.30,8.50,10.40,2.40,1.80,1.20,1.20,2.40,6.70,8.50,8.50,0.60,4.90,39
4.50,1.90,7.00,12.70,5.70,5.70,3.20,7.00,5.70,9.60,1.90,7.60,1.30,1.90,5.10,6.40,5.70,3.80,0.60,2.50,39
4.60,0.00,5.30,10.70,6.10,9.20,0.80,5.30,11.50,6.90,2.30,7.60,0.00,1.50,4.60,3.10,7.60,8.40,1.50,3.10,39
5.30,1.50,8.40,6.10,4.60,8.40,0.00,6.10,10.70,4.60,3.10,3.10,0.80,1.50,5.30,6.90,8.40,12.20,1.50,1.50,39
6.90,0.00,9.90,3.10,3.80,12.20,0.80,2.30,9.90,4.60,1.50,4.60,0.80,2.30,1.50,10.70,6.90,12.20,0.80,5.30,39
4.40,2.20,3.60,12.40,3.60,5.80,0.00,5.10,9.50,7.30,2.20,5.10,2.90,2.20,5.10,5.10,9.50,10.20,2.20,1.50,39
7.20,0.80,9.60,5.60,7.20,10.40,1.60,4.00,8.80,5.60,4.00,4.80,3.20,4.00,1.60,4.00,5.60,7.20,0.80,4.00,39
