@relation V-train

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real      
@attribute V15 real      
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
37.70,39.70,22.60,33.10,16.60,15.20,3.40,29.50,46.60,74.00,99.30,1.40,17.10,49.30,73.30,98.60,0.70,26.70,50.00,72.60,100.00,7
40.60,34.90,24.50,28.60,16.20,17.10,0.90,26.40,43.40,68.90,94.30,2.80,15.10,45.30,73.60,97.20,6.60,31.10,57.50,80.20,100.00,7
49.60,28.30,22.00,33.30,24.60,16.70,1.60,28.30,52.80,77.20,100.00,0.80,14.20,40.90,65.40,99.20,2.40,22.00,46.50,74.00,98.40,7
35.40,31.90,32.70,20.50,26.80,17.90,0.90,16.80,44.20,69.90,98.20,3.50,29.20,49.60,71.70,100.00,1.80,23.00,59.30,77.00,99.10,7
42.20,39.60,18.20,26.10,13.10,15.70,0.60,20.80,52.60,75.30,100.00,2.60,23.40,49.40,70.10,98.10,1.30,29.90,44.20,72.70,98.70,7
39.60,32.50,27.90,25.50,24.80,19.00,0.60,15.60,43.50,64.30,98.10,3.90,31.80,58.40,79.20,97.40,2.60,26.00,47.40,79.90,100.00,7
42.10,40.30,17.60,31.00,14.60,13.30,0.60,27.70,52.80,75.50,100.00,1.30,23.90,44.70,68.60,97.50,3.80,22.60,66.70,83.60,99.40,9
36.00,41.30,22.70,31.60,15.20,17.00,1.20,22.70,48.30,71.50,99.40,0.60,23.30,51.70,72.70,98.80,4.10,25.60,45.30,75.60,100.00,9
34.90,42.80,22.30,28.50,20.00,21.20,1.20,22.30,47.60,74.10,99.40,2.40,24.70,48.80,71.10,97.00,0.60,21.10,51.80,80.10,100.00,9
38.70,38.70,22.70,22.90,16.90,16.90,0.80,22.70,53.80,73.10,98.30,5.90,20.20,42.90,74.80,100.00,7.60,26.90,57.10,69.70,99.20,9
34.90,37.20,27.90,25.80,15.60,22.70,2.30,23.30,38.80,72.90,100.00,3.90,17.80,51.20,75.20,94.60,0.80,36.40,57.40,70.50,97.70,9
31.50,42.70,25.90,24.60,20.40,23.20,0.70,18.90,46.20,68.50,100.00,1.40,25.90,51.70,76.90,99.30,2.10,28.70,45.50,72.00,97.90,9
27.20,41.70,31.10,23.30,20.70,27.30,1.30,14.60,37.70,65.60,96.70,0.70,27.20,48.30,74.80,100.00,3.30,19.90,59.60,80.10,99.30,9
18.90,47.20,34.00,12.00,15.80,32.90,6.30,23.30,44.70,68.60,96.90,1.90,17.00,48.40,67.30,100.00,0.60,27.00,58.50,79.90,98.70,9
24.40,47.10,28.60,20.30,11.00,24.60,1.70,19.30,34.50,70.60,100.00,0.80,27.70,53.80,80.70,99.20,3.40,24.40,46.20,67.20,98.30,9
30.30,47.40,22.40,22.70,12.00,24.00,3.90,21.10,50.00,63.20,98.70,6.60,31.60,52.60,80.30,100.00,1.30,14.50,34.20,67.10,96.10,11
45.90,26.60,27.50,23.10,25.00,13.90,0.90,19.30,56.00,77.10,100.00,4.60,30.30,54.10,74.30,99.10,1.80,24.80,40.40,62.40,93.60,11
35.30,44.10,20.60,27.30,18.20,15.20,5.90,26.50,52.90,79.40,100.00,8.80,14.70,47.10,73.50,88.20,2.90,2.90,32.40,44.10,91.20,11
31.40,39.50,29.20,23.90,18.50,25.50,1.10,27.00,45.90,67.60,95.70,0.50,19.50,53.00,75.70,99.50,1.60,25.90,47.60,77.30,100.00,11
40.20,32.20,27.60,29.50,22.00,18.50,0.60,29.30,54.00,76.40,98.90,1.70,30.50,52.90,78.70,100.00,2.30,16.10,39.10,68.40,97.70,11
38.40,33.50,28.10,23.90,20.70,21.70,0.50,26.50,51.40,76.80,100.00,1.10,24.90,53.50,73.50,98.90,2.70,18.90,42.70,70.30,99.50,11
39.60,35.60,24.80,33.80,18.90,18.90,0.70,20.80,45.60,67.80,100.00,1.30,26.80,51.70,79.90,97.30,6.00,23.50,46.30,65.10,98.00,11
46.90,32.40,20.70,26.40,19.30,12.70,1.90,27.20,50.70,76.50,100.00,0.50,20.20,43.70,70.00,99.50,1.40,24.40,54.90,80.80,98.60,20
36.90,37.40,25.70,29.30,20.00,22.00,0.50,24.30,51.50,76.20,99.50,1.50,23.80,46.60,71.40,100.00,1.90,24.80,47.10,75.20,98.10,20
38.20,42.70,19.10,27.10,14.10,13.60,3.40,27.00,56.70,73.00,100.00,1.70,28.70,52.20,78.10,99.40,0.60,15.20,33.10,60.10,96.10,20
35.60,46.30,18.10,35.20,11.90,15.30,0.60,20.90,43.50,67.20,97.70,1.70,29.90,55.40,78.00,100.00,3.40,20.30,46.90,73.40,98.30,20
36.90,34.60,28.50,27.50,14.60,25.30,0.60,19.60,53.60,78.80,98.90,1.10,24.00,51.40,72.10,99.40,3.90,25.70,43.60,73.70,100.00,20
34.70,40.60,24.80,36.00,13.00,19.00,2.00,20.80,47.50,74.30,100.00,1.00,16.80,36.60,62.40,97.00,18.80,41.60,64.40,79.20,98.00,20
36.70,40.80,22.40,28.90,15.50,14.40,5.10,28.60,54.10,77.60,100.00,3.10,23.50,51.00,71.40,96.90,1.00,13.30,39.80,64.30,99.00,20
38.50,35.20,26.40,30.00,24.40,14.40,1.10,18.70,41.80,68.10,96.70,6.60,38.50,50.50,74.70,97.80,3.30,16.50,49.50,80.20,100.00,20
36.40,30.30,33.30,16.30,36.70,17.30,4.00,28.30,59.60,77.80,99.00,1.00,16.20,35.40,49.50,93.90,3.00,31.30,54.50,78.80,100.00,20
42.10,32.50,25.40,29.20,16.80,16.80,0.90,27.20,46.50,70.20,100.00,1.80,17.50,43.90,69.30,98.20,2.60,32.50,59.60,79.80,97.40,20
43.70,33.00,23.30,30.40,22.50,7.80,1.90,26.20,57.30,75.70,99.00,1.00,21.40,55.30,70.90,98.10,4.90,13.60,40.80,53.40,100.00,20
42.90,35.20,22.00,32.20,18.90,12.20,4.40,23.10,45.10,67.00,96.70,2.20,34.10,64.80,82.40,98.90,1.10,13.20,39.60,59.30,100.00,20
50.00,31.40,18.60,37.60,14.90,14.90,1.00,23.50,44.10,71.60,99.00,2.00,24.50,53.90,75.50,100.00,5.90,17.60,43.10,78.40,97.10,20
52.90,30.60,16.50,33.30,17.90,13.10,1.20,23.50,44.70,68.20,97.60,5.90,22.40,62.40,81.20,100.00,8.20,16.50,40.00,63.50,96.50,20
36.40,32.90,30.70,22.90,26.90,17.60,0.40,29.40,53.50,76.30,97.40,2.60,16.20,40.40,65.40,98.70,0.90,22.80,51.30,82.90,100.00,20
42.00,34.00,24.00,28.30,18.20,20.20,3.00,29.00,52.00,70.00,95.00,1.00,20.00,47.00,79.00,100.00,4.00,21.00,45.00,72.00,99.00,20
51.40,32.10,16.50,22.20,13.00,14.80,0.90,22.90,55.00,76.10,100.00,7.30,25.70,41.30,73.40,98.20,4.60,13.80,42.20,70.60,79.80,20
38.60,44.60,16.80,33.00,17.00,11.00,1.00,18.80,43.60,63.40,100.00,4.00,22.80,56.40,84.20,99.00,3.00,23.80,35.60,68.30,79.20,20
63.40,28.60,8.00,37.80,7.20,7.20,0.90,21.40,47.30,75.00,100.00,3.60,22.30,39.30,67.90,97.30,27.70,28.60,59.80,64.30,99.10,20
48.00,34.00,18.00,36.20,14.10,15.40,2.00,28.00,53.30,80.00,100.00,0.70,18.00,44.00,71.30,97.30,1.30,27.30,41.30,69.30,98.70,20
53.80,29.70,16.50,32.20,17.80,6.70,1.10,22.00,51.60,72.50,97.80,3.30,15.40,44.00,71.40,100.00,18.70,28.60,47.30,74.70,96.70,20
47.20,36.00,16.90,36.40,19.30,8.00,2.20,19.10,48.30,73.00,100.00,1.10,21.30,44.90,67.40,95.50,11.20,24.70,49.40,83.10,97.80,20
48.00,31.00,21.00,23.20,19.20,17.20,4.00,29.00,53.00,86.00,99.00,1.00,14.00,35.00,66.00,100.00,10.00,32.00,51.00,72.00,93.00,20
41.10,31.10,27.80,27.00,24.70,15.70,2.20,22.20,53.30,73.30,95.60,1.10,32.20,56.70,82.20,100.00,3.30,16.70,35.60,61.10,92.20,20
30.20,43.40,26.40,26.70,12.40,26.70,0.90,16.00,35.80,67.00,98.10,4.70,22.60,47.20,74.50,99.10,8.50,36.80,53.80,76.40,100.00,20
40.80,35.70,23.50,26.80,23.70,15.50,1.00,26.50,51.00,75.50,96.90,2.00,21.40,54.10,80.60,100.00,7.10,17.30,43.90,69.40,98.00,20
38.70,39.50,21.80,30.50,16.90,20.30,0.80,17.60,46.20,63.90,100.00,1.70,26.90,42.90,75.60,95.00,5.00,22.70,57.10,76.50,97.50,20
34.10,37.00,28.90,24.60,23.10,18.70,0.70,25.90,43.00,74.10,100.00,3.00,20.00,41.50,69.60,98.50,5.90,38.50,51.90,76.30,96.30,20
34.30,36.40,29.30,23.50,29.60,18.40,4.00,25.30,57.60,75.80,99.00,1.00,21.20,38.40,64.60,93.90,3.00,26.30,56.60,78.80,100.00,20
46.70,29.90,23.40,31.90,22.10,13.10,0.50,28.50,55.10,74.80,99.50,0.90,22.40,53.70,79.40,99.10,1.40,22.00,37.90,66.80,100.00,20
44.40,36.40,19.20,33.70,19.40,15.30,2.00,20.20,48.50,73.70,98.00,1.00,25.30,46.50,71.70,100.00,14.10,29.30,54.50,80.80,96.00,23
39.00,33.30,27.60,22.10,19.70,19.70,0.80,22.80,42.30,65.00,97.60,1.60,25.20,52.80,80.50,100.00,4.90,26.00,55.30,68.30,96.70,23
41.90,30.50,27.60,26.00,23.10,13.50,1.00,16.20,41.90,75.20,95.20,4.80,23.80,44.80,63.80,100.00,1.90,34.30,54.30,78.10,96.20,23
44.20,27.90,27.90,28.10,27.30,19.50,0.80,31.00,53.50,74.40,99.20,1.60,16.30,41.10,66.70,100.00,10.10,26.40,43.40,83.70,97.70,23
40.70,31.40,27.90,23.50,25.90,15.30,2.30,20.90,52.30,73.30,98.80,4.70,26.70,40.70,74.40,100.00,1.20,15.10,33.70,72.10,93.00,23
38.80,35.70,25.60,27.30,14.10,14.10,0.80,31.00,57.40,76.00,97.70,1.60,18.60,40.30,65.10,100.00,3.10,10.90,47.30,78.30,99.20,23
44.00,33.00,23.00,28.80,18.80,13.50,0.50,30.10,56.90,78.90,99.50,3.30,19.60,47.40,65.60,96.20,1.00,22.00,41.10,74.60,100.00,23
36.00,38.30,25.70,27.70,20.20,18.30,0.50,26.20,53.70,76.20,100.00,1.40,21.50,43.90,68.20,99.50,1.90,22.40,51.40,73.40,99.10,23
39.60,36.50,23.90,25.90,19.00,20.90,0.60,23.30,57.20,75.50,98.70,1.30,24.50,46.50,67.30,99.40,4.40,21.40,45.90,78.60,100.00,23
40.90,32.20,26.80,25.20,19.80,16.00,0.90,23.30,48.00,72.50,100.00,0.20,24.00,48.20,75.80,99.30,1.90,28.20,50.60,77.40,99.50,26
45.10,33.70,21.10,29.30,17.80,12.10,2.30,22.30,45.70,67.40,98.90,1.70,28.00,52.60,81.10,99.40,0.60,20.60,50.30,70.90,100.00,26
38.60,40.20,21.20,30.60,9.80,16.40,0.50,24.50,53.30,81.50,100.00,2.70,22.80,51.10,73.40,97.80,1.10,9.20,41.30,61.40,98.40,26
45.70,35.70,18.60,32.80,20.20,11.10,0.50,26.60,49.70,73.40,98.50,2.50,19.60,50.30,77.40,100.00,1.50,24.60,39.20,68.30,94.50,26
47.90,36.60,15.50,37.50,14.50,11.00,0.40,28.90,52.80,76.10,98.60,0.70,20.80,46.80,77.50,100.00,2.50,26.10,41.90,67.30,98.20,26
48.00,34.60,17.40,34.10,16.90,12.50,0.30,24.30,50.20,73.80,99.40,0.60,24.60,54.80,76.60,100.00,5.00,21.80,41.70,72.90,96.60,26
42.50,33.90,23.70,30.80,16.80,15.70,0.50,19.90,50.00,72.00,100.00,3.20,24.20,41.90,70.40,98.90,9.70,31.70,58.60,83.90,97.80,26
40.00,36.10,23.90,28.90,20.10,18.10,1.50,16.10,40.50,69.80,99.00,0.50,32.70,56.60,78.00,100.00,2.40,26.30,44.90,72.70,99.50,26
41.20,35.40,23.40,28.00,19.40,16.30,0.20,27.90,49.50,71.40,99.30,0.40,19.30,49.30,76.80,99.80,1.60,28.30,50.70,79.60,100.00,26
41.40,31.50,27.10,26.50,21.00,16.20,0.40,19.40,46.90,68.50,99.60,0.70,24.20,44.00,73.60,98.90,3.70,31.50,59.70,82.10,100.00,26
43.90,35.70,20.40,33.50,20.50,12.60,0.40,21.20,47.50,78.00,99.60,2.40,31.00,57.60,75.70,100.00,0.80,27.10,40.00,65.10,98.00,26
44.10,35.60,20.30,27.70,15.30,16.20,0.40,22.90,53.00,76.30,99.60,0.80,22.50,41.10,69.90,100.00,5.50,31.80,49.60,73.70,94.50,26
46.60,29.90,23.50,27.30,22.10,13.90,0.40,23.90,50.70,72.80,100.00,0.70,23.10,43.30,68.70,98.90,2.60,30.20,53.70,84.70,99.60,26
42.20,34.50,23.30,29.40,19.00,17.30,1.60,18.10,47.40,77.90,99.20,0.40,24.50,50.60,75.50,100.00,2.40,28.10,49.40,66.70,99.60,26
48.50,29.00,22.50,33.00,21.30,14.30,0.40,26.40,55.00,77.10,99.60,1.30,21.60,39.40,71.40,100.00,3.50,24.70,51.90,73.20,98.70,26
43.50,34.80,21.70,26.70,17.80,13.30,2.20,13.00,58.70,78.30,100.00,6.50,19.60,37.00,56.50,97.80,23.90,26.10,43.50,63.00,89.10,26
43.80,33.50,22.70,30.30,24.60,16.00,1.10,23.90,44.90,68.80,99.40,1.70,26.70,58.50,84.10,100.00,0.60,21.60,45.50,67.60,98.90,30
43.50,28.00,28.50,22.50,24.40,20.70,0.90,24.30,46.70,75.20,99.50,0.50,22.90,50.50,76.20,100.00,2.80,27.10,51.40,72.40,98.60,30
39.80,39.10,21.10,28.80,17.40,17.40,0.80,21.10,48.10,69.90,98.50,2.30,23.30,45.10,72.90,100.00,8.30,32.30,54.10,79.70,99.20,30
34.80,39.70,25.50,28.60,19.70,20.20,1.00,21.60,49.50,73.00,98.00,2.00,28.90,53.40,79.90,100.00,0.50,23.00,42.60,70.10,99.50,30
54.60,28.10,17.10,31.20,16.90,9.90,0.50,22.40,49.30,75.60,100.00,1.40,25.30,49.50,73.00,99.30,2.50,27.00,52.50,76.00,97.50,30
48.60,26.50,24.90,23.40,25.00,14.70,0.50,23.80,50.30,72.40,98.90,3.80,18.90,41.60,77.80,99.50,2.70,28.60,51.40,73.00,100.00,30
38.30,36.20,25.50,21.70,17.40,21.70,2.10,21.30,55.30,68.10,100.00,10.60,17.00,31.90,63.80,95.70,6.40,29.80,48.90,83.00,89.40,30
42.40,33.90,23.70,39.70,17.20,17.20,3.40,27.10,57.60,76.30,100.00,1.70,18.60,47.50,71.20,98.30,6.80,16.90,37.30,61.00,91.50,31
29.80,40.40,29.80,21.40,19.60,21.40,10.50,26.30,47.40,75.40,100.00,3.50,12.30,45.60,70.20,98.20,1.80,22.80,38.60,66.70,96.50,31
36.80,38.20,25.00,29.30,21.30,20.00,2.60,32.90,53.90,78.90,98.70,1.30,25.00,44.70,65.80,97.40,3.90,11.80,28.90,73.70,100.00,31
33.80,35.20,31.00,18.60,21.40,21.40,1.40,11.30,39.40,66.20,100.00,12.70,32.40,47.90,80.30,95.80,7.00,21.10,57.70,70.40,98.60,31
37.90,34.50,27.60,35.10,19.30,17.50,1.70,20.70,39.70,58.60,89.70,5.20,27.60,50.00,81.00,96.60,12.10,19.00,63.80,74.10,100.00,31
32.80,41.40,25.90,29.80,15.80,19.30,3.40,22.40,43.10,69.00,96.60,1.70,24.10,50.00,72.40,100.00,5.20,15.50,39.70,77.60,98.30,31
34.80,40.60,24.60,23.50,14.70,23.50,1.40,29.00,43.50,73.90,100.00,2.90,30.40,55.10,84.10,98.60,5.80,17.40,26.10,58.00,91.30,31
32.30,32.30,35.50,19.70,21.30,26.20,1.60,27.40,58.10,69.40,82.30,4.80,22.60,46.80,87.10,98.40,6.50,12.90,38.70,62.90,100.00,31
35.90,38.80,25.20,35.30,16.70,20.60,1.00,21.40,45.60,72.80,97.10,2.90,20.40,48.50,74.80,100.00,11.70,30.10,55.30,70.90,99.00,32
42.00,34.80,23.20,26.50,19.10,17.60,1.40,17.40,37.70,71.00,92.80,7.20,34.80,53.60,72.50,97.10,11.60,20.30,43.50,76.80,100.00,32
44.50,28.20,27.30,28.40,17.40,19.30,0.90,21.80,41.80,80.90,100.00,1.80,27.30,57.30,74.50,99.10,2.70,19.10,50.90,62.70,86.40,32
41.80,30.90,27.30,19.30,21.10,21.10,0.90,28.20,41.80,70.00,100.00,1.80,14.50,59.10,78.20,97.30,3.60,24.50,52.70,71.80,96.40,32
42.90,33.70,23.50,23.70,25.80,15.50,2.00,33.70,55.10,77.60,99.00,1.00,16.30,41.80,75.50,100.00,4.10,17.30,34.70,56.10,98.00,32
33.10,33.80,33.10,21.50,23.70,21.50,4.40,20.60,40.40,66.20,100.00,1.50,24.30,51.50,77.90,98.50,0.70,22.10,47.80,68.40,99.30,32
45.20,31.20,23.70,32.60,20.70,13.00,1.10,19.40,44.10,67.70,97.80,3.20,25.80,45.20,69.90,98.90,7.50,35.50,60.20,75.30,100.00,32
35.00,42.30,22.60,30.90,16.20,22.10,1.50,16.80,43.10,70.80,99.30,0.70,31.40,56.20,76.60,100.00,3.60,19.00,35.80,64.20,93.40,32
39.60,35.40,25.00,30.80,21.90,15.80,0.40,31.10,56.40,83.90,98.60,2.10,22.10,43.90,64.30,98.20,0.70,20.00,47.90,72.90,100.00,32
38.30,36.60,25.10,30.50,20.70,16.70,0.60,21.70,43.40,63.40,98.30,1.10,18.30,51.40,74.30,99.40,5.10,28.60,62.90,80.60,100.00,32
32.80,43.30,23.90,36.40,16.70,18.20,6.00,32.80,55.20,80.60,100.00,3.00,28.40,50.70,74.60,98.50,1.50,11.90,25.40,56.70,97.00,32
37.60,40.00,22.40,33.30,20.20,22.60,8.20,22.40,55.30,71.80,100.00,1.20,24.70,45.90,69.40,97.60,2.40,17.60,47.10,78.80,95.30,32
25.90,34.60,39.50,18.80,23.80,22.50,8.60,21.00,46.90,66.70,97.50,1.20,24.70,59.30,79.00,98.80,2.50,30.90,45.70,70.40,100.00,32
37.00,37.00,26.00,28.60,18.30,21.40,0.80,18.10,40.90,67.70,99.20,2.40,26.80,49.60,66.90,100.00,1.60,24.40,66.10,77.20,96.10,33
30.10,43.20,26.70,27.60,15.20,24.80,5.50,32.20,50.00,81.50,99.30,0.70,20.50,42.50,72.60,100.00,2.10,26.00,58.90,70.50,97.90,33
38.00,37.30,24.60,27.70,15.60,18.40,0.70,36.60,62.00,76.80,96.50,2.80,20.40,35.90,58.50,100.00,1.40,12.00,45.10,73.20,99.30,33
35.20,40.00,24.80,29.90,14.60,21.50,12.40,32.40,53.80,79.30,96.60,0.70,17.20,46.90,67.60,100.00,2.10,17.90,42.80,72.40,97.20,33
41.40,32.90,25.70,25.90,24.50,17.30,3.60,22.90,54.30,75.70,99.30,0.70,25.00,46.40,75.00,100.00,2.90,23.60,40.70,67.10,97.90,33
43.30,33.10,23.60,25.40,19.00,19.80,1.60,17.30,44.90,69.30,98.40,0.80,27.60,49.60,76.40,99.20,3.90,26.80,59.80,75.60,100.00,33
39.20,38.60,22.30,29.70,20.00,13.90,2.40,23.50,45.80,65.10,99.40,0.60,18.10,44.00,75.30,100.00,9.60,39.80,64.50,78.90,98.80,33
33.10,24.60,42.40,15.40,32.50,19.70,1.70,19.50,45.80,73.70,94.90,2.50,31.40,51.70,72.00,100.00,0.80,22.90,49.20,72.90,95.80,33
56.30,25.50,18.30,23.30,16.40,11.10,0.40,25.10,51.30,78.70,100.00,0.80,20.20,46.00,68.80,99.20,6.80,21.70,49.80,69.20,97.70,35
58.00,28.20,13.80,33.30,16.70,8.90,1.10,24.30,53.00,76.80,98.90,0.60,20.40,49.20,70.20,100.00,7.20,25.40,39.80,64.10,97.20,35
53.50,31.80,14.60,38.10,18.80,10.70,0.50,24.20,49.50,72.20,100.00,1.00,23.20,50.50,82.30,99.00,4.50,22.70,42.90,65.20,96.50,35
48.80,32.60,18.60,28.60,19.00,7.10,7.00,18.60,46.50,62.80,95.30,2.30,23.30,41.90,69.80,83.70,11.60,32.60,55.80,93.00,100.00,35
41.70,33.30,25.00,25.70,22.90,20.00,2.80,11.10,25.00,61.10,97.20,16.70,38.90,58.30,77.80,91.70,5.60,33.30,47.20,63.90,100.00,35
43.00,29.10,27.80,28.00,29.30,16.00,2.60,30.50,57.60,78.80,98.00,1.30,19.20,46.40,76.80,99.30,0.70,19.90,43.00,59.60,100.00,35
34.30,32.80,32.80,22.70,24.20,27.30,6.00,38.80,65.70,79.10,100.00,1.50,13.40,37.30,64.20,94.00,3.00,17.90,41.80,58.20,98.50,35
51.30,30.90,17.80,25.80,20.50,12.60,0.70,27.00,52.60,72.40,100.00,6.60,19.70,42.80,71.70,99.30,2.60,13.20,53.90,78.90,94.10,35
39.40,31.20,29.40,19.40,21.30,17.60,0.90,24.80,45.90,69.70,100.00,1.80,11.00,28.40,67.90,98.20,18.30,37.60,63.30,82.60,97.20,35
39.80,31.20,29.00,19.40,25.70,18.90,1.70,26.10,47.20,72.70,100.00,0.60,25.00,55.10,84.10,99.40,1.10,15.30,48.90,68.80,98.30,39
