@relation 'S-train-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L7,16,27-V'

@attribute S1 numeric
@attribute S2 numeric
@attribute S3 numeric
@attribute S4 numeric
@attribute S5 numeric
@attribute S6 numeric
@attribute S7 numeric
@attribute S8 numeric
@attribute S9 numeric
@attribute S10 numeric
@attribute S11 numeric
@attribute S12 numeric
@attribute S13 numeric
@attribute S14 numeric
@attribute S15 numeric
@attribute S16 numeric
@attribute S17 numeric
@attribute S18 numeric
@attribute S19 numeric
@attribute S20 numeric
@attribute S21 numeric
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
47.6,12.9,39.5,0,8.6,4.6,6,23.8,55.9,80.2,99.7,2.3,28.4,50.1,60.7,82.8,0.3,17.8,44.7,69.3,100,46
37.1,16.6,46.2,0.3,7.6,6.2,2.9,20.8,49.1,66.5,83.9,0.3,16.1,30.1,80.3,95.6,2.1,35.3,54.3,84.7,100,46
43.1,15.6,41.4,0,6.1,5,2.5,17.5,49.4,76.4,93.6,7.8,29.2,39.7,51.9,83.3,0.3,24.2,61.4,80,100,46
36.8,13,50.2,0,6.4,5.7,7.6,20.3,47.6,76.2,92.1,1,23.2,34.3,57.8,82.2,0.3,26.3,55.2,77.1,100,46
40.6,17.5,42,0,5.6,4.2,43.4,52.4,67.1,83.2,95.8,2.8,6.3,12.6,16.8,23.1,0.7,28,38.5,69.9,100,46
41.9,15,43.2,0,7.1,6.6,5.7,21.1,44.1,66.5,99.1,0.4,13.2,27.8,49.8,90.7,3.5,37,60.4,83.3,100,46
33.2,12.3,54.5,0,7.4,5.8,7.4,15.2,42.2,63.5,98.8,3.7,21.3,37.3,47.5,91,0.4,25.4,61.1,82.4,100,46
34.6,13.5,51.9,0,6,6,13,32.6,50.1,68.2,98.7,5,17.5,34.1,60.9,86.5,0.3,19.5,52.6,77.7,100,46
42.9,14,43.1,0,7.4,6.9,1.7,27.4,56.3,81.7,94.9,12.9,21.4,43.1,69.1,99.1,0.3,21.7,46.6,69.7,100,46
35.6,15,49.4,0.3,5.6,5.6,11.2,27.9,57.9,82.6,98.8,3.8,16.8,48.5,66.2,94.1,0.3,21.5,40.6,74.1,100,46
41.7,17.1,41.3,0,8.4,6.4,1.6,28.2,51.2,77.8,100,19.4,34.1,53.6,72.2,93.3,0.4,22.2,38.1,74.6,96.8,46
55.2,14.5,30.2,0,9.3,6.5,0.4,26.6,47.2,80.6,99.6,7.3,19.8,49.6,69,87.1,5.2,22.2,50.8,70.2,100,46
51,12.5,36.5,0,7.8,5.8,3.8,15.4,48.1,75,97.1,33.7,35.6,56.7,59.6,90.4,1,26.9,40.4,65.4,100,46
49.7,11.6,38.8,0.3,8.5,4.7,2.5,25.9,52.2,85,99.1,6.9,28.1,37.8,56.6,79.7,0.3,19.1,50,68.8,100,46
45,14.8,40.2,0,8.4,7.1,1.9,25.7,55.3,85.9,99.4,7.4,29.6,52.7,66.9,79.1,0.3,19.3,46.6,68.8,100,46
45.7,16.7,37.6,0,9,6.6,6.1,33.1,55.1,76.7,98.8,1.2,15.1,35.9,64.5,93.1,0.4,26.1,47.8,70.2,100,46
36.6,9.7,53.7,0,6.6,4.6,8.9,29.5,57.5,84.7,99.2,2.3,12.5,33.8,53.4,69.2,0.3,24.2,48.6,70.7,100,46
47.8,18.9,33.3,0,6.2,7,9.2,38.2,63.6,79.8,98.7,2.6,19.7,32.5,57.9,86.4,0.4,21.9,34.2,60.1,100,46
0,11.1,88.9,0,0,5.7,0,0,0,0,0,55.6,55.6,58.3,61.1,63.9,2.8,22.2,44.4,77.8,100,110
25,0,75,0,8.5,0,8.3,12.5,81.2,87.5,93.8,0,0,0,0,0,2.1,29.2,47.9,66.7,100,110
6.2,16.9,76.9,0,3.1,9.4,41.5,41.5,43.1,44.6,46.2,3.1,4.6,60,70.8,75.4,1.5,23.1,49.2,80,100,110
7.8,12.5,79.7,0,3.2,6.3,37.5,37.5,39.1,40.6,43.8,54.7,56.2,59.4,73.4,76.6,1.6,18.8,46.9,79.7,100,110
18.9,0,81.1,0,5.6,0,37.8,37.8,43.2,48.6,54.1,0,0,0,0,0,2.7,18.9,59.5,78.4,100,110
22.6,0,77.4,0,6.7,0,22.6,22.6,29,35.5,41.9,0,0,0,0,0,3.2,19.4,61.3,80.6,100,110
27.8,0,72.2,0,5.7,0,19.4,22.2,30.6,36.1,44.4,0,0,0,0,0,2.8,16.7,63.9,80.6,100,110
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,24.3,48.6,73,100,110
20,7.5,72.5,0,5.1,5.1,37.5,40,45,50,55,87.5,87.5,90,92.5,92.5,2.5,17.5,35,72.5,100,110
12.8,0,87.2,0,4.3,0,42.6,42.6,46.8,48.9,53.2,0,0,0,0,0,2.1,21.3,55.3,76.6,100,110
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,25,50,75,100,110
0,23.1,76.9,0,0,15.8,0,0,0,0,0,25.6,28.2,59,64.1,87.2,2.6,17.9,46.2,71.8,100,110
0,21.7,78.3,0,0,13.3,0,0,0,0,0,6.5,8.7,54.3,89.1,95.7,2.2,26.1,45.7,71.7,100,110
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,25,50,75,100,110
